Num_Acc,category_route,regime_circulation,voie_reserve,profil_route,etat_surface,Infrastructure,situation,nb_voies
201900000001,1,3,0,1,1,2,1,10
201900000002,1,1,0,4,1,0,1,2
201900000003,1,3,0,1,1,0,1,8
201900000004,1,3,0,1,1,0,1,5
201900000005,1,1,0,1,1,2,1,3
201900000006,4,2,0,1,2,0,1,2
201900000007,4,2,0,1,1,0,2,2
201900000008,4,2,0,2,2,0,1,2
201900000009,3,1,0,1,1,0,1,4
201900000010,7,2,0,2,1,0,1,4
201900000011,4,2,0,1,1,0,1,3
201900000012,1,3,0,1,2,0,1,6
201900000013,4,2,0,1,1,0,1,2
201900000014,2,2,0,1,1,9,1,2
201900000015,4,1,1,1,1,0,1,1
201900000016,4,1,0,1,1,0,1,1
201900000017,4,1,0,1,1,0,1,1
201900000018,7,1,3,1,2,9,1,5
201900000019,4,2,0,1,2,0,1,2
201900000020,4,2,0,1,1,2,1,7
201900000021,3,2,0,2,1,0,1,2
201900000022,3,2,0,1,1,0,1,2
201900000023,4,2,0,2,1,1,1,0
201900000024,7,2,0,1,2,0,1,1
201900000025,4,-1,0,2,2,0,1,2
201900000026,2,3,0,1,1,0,1,4
201900000027,4,2,0,1,2,0,1,2
201900000028,4,-1,0,2,1,0,1,1
201900000029,4,2,0,1,2,0,1,2
201900000030,3,2,0,2,2,5,1,4
201900000031,3,2,0,1,2,0,1,4
201900000032,4,2,0,1,2,9,1,2
201900000033,3,2,0,1,2,0,1,2
201900000034,4,2,2,1,1,0,1,3
201900000035,3,2,0,2,2,0,1,2
201900000036,3,3,0,1,2,5,4,6
201900000037,4,3,2,1,2,4,6,5
201900000038,4,2,0,1,1,0,1,2
201900000039,4,2,0,1,1,0,1,2
201900000040,3,2,0,1,1,0,1,2
201900000041,4,-1,0,1,2,0,1,2
201900000042,4,2,0,1,2,0,1,2
201900000043,4,2,1,1,1,0,1,3
201900000044,4,2,0,1,2,0,1,2
201900000045,4,2,0,1,1,0,1,2
201900000046,4,1,0,1,2,0,1,4
201900000047,4,2,0,1,2,0,1,2
201900000048,4,2,0,1,1,0,1,3
201900000049,4,2,0,1,1,0,1,2
201900000050,4,2,0,1,2,0,1,2
201900000051,4,1,0,1,1,0,1,2
201900000052,3,2,0,1,2,0,1,2
201900000053,4,2,0,1,1,6,1,2
201900000054,2,3,0,1,1,0,1,4
201900000055,6,-1,0,4,1,1,6,-1
201900000056,4,2,2,1,1,0,1,4
201900000057,4,2,0,1,1,0,1,1
201900000058,4,2,2,1,1,5,1,7
201900000059,4,1,1,1,2,0,1,2
201900000060,4,2,0,1,1,0,1,4
201900000061,4,2,2,1,1,0,1,4
201900000062,4,3,-1,1,2,0,8,8
201900000063,4,3,-1,2,2,0,1,10
201900000064,4,2,0,1,2,0,1,2
201900000065,4,3,0,1,2,0,1,6
201900000066,3,2,0,1,2,0,1,2
