Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
202200000001,A01,2,0,2,1,9
202200000001,B01,7,0,2,2,1
202200000002,B01,7,0,2,8,15
202200000002,A01,10,0,2,1,1
202200000003,A01,7,0,2,1,2
202200000003,B01,7,0,2,4,2
202200000004,A01,7,0,1,3,16
202200000005,B01,7,0,2,4,1
202200000005,A01,7,0,2,1,2
202200000006,B01,10,0,1,3,15
202200000007,D01,7,0,2,1,0
202200000007,A01,7,1,0,1,0
202200000008,B01,10,0,2,6,16
202200000008,A01,2,0,2,1,1
202200000009,A01,7,0,1,1,1
202200000010,A01,7,0,1,2,0
202200000011,A01,7,8,0,7,0
202200000012,B01,33,0,2,1,1
202200000012,A01,10,0,0,6,10
202200000013,A01,7,0,1,1,1
202200000014,B01,7,0,2,1,21
202200000014,A01,7,0,2,1,13
202200000015,Z01,7,0,2,4,23
202200000015,A01,7,7,2,1,2
202200000016,A01,7,0,2,3,22
202200000016,B01,1,0,2,1,1
202200000017,A01,10,0,2,2,16
202200000017,B01,1,0,2,0,1
202200000018,Z01,10,0,1,4,1
202200000019,B01,32,0,2,1,1
202200000019,A01,14,0,2,7,10
202200000020,B01,33,0,2,1,1
202200000020,Z01,10,0,2,3,10
202200000021,B01,14,0,2,3,1
202200000021,A01,7,0,2,1,21
202200000022,A01,7,1,0,7,1
202200000023,A01,43,1,0,3,14
202200000024,A01,7,0,1,1,15
202200000025,A01,1,9,0,0,1
202200000026,A01,30,0,2,1,1
202200000026,B01,7,0,2,2,15
202200000027,Z01,1,0,1,1,1
202200000028,A01,7,0,1,7,1
202200000029,A01,7,0,1,1,15
202200000030,A01,7,4,0,1,26
202200000031,A01,7,0,1,3,15
202200000032,B01,7,0,2,4,24
202200000032,A01,7,1,0,1,20
202200000033,A01,7,0,1,4,4
202200000034,A01,2,0,2,3,1
202200000034,B01,60,0,2,3,19
202200000035,A01,7,0,1,1,26
202200000036,A01,10,4,0,3,1
202200000037,A01,7,0,1,2,15
202200000038,A01,10,0,1,3,1
202200000039,A01,7,0,2,3,1
202200000039,B01,7,0,2,1,15
202200000040,A01,7,0,1,1,26
202200000041,B01,13,0,1,1,0
202200000041,A01,7,0,1,3,0
202200000042,A01,10,0,2,3,1
202200000042,B01,7,0,2,0,0
202200000043,A01,10,9,1,2,1
202200000044,B01,7,0,2,1,1
202200000044,A01,7,8,2,5,15
202200000045,B01,32,0,0,5,13
202200000045,A01,7,0,2,3,1
202200000046,B01,1,0,2,0,1
202200000046,A01,7,0,2,2,1
202200000047,A01,7,0,0,0,0
202200000047,B01,43,0,2,0,0
202200000048,B01,7,0,2,4,26
202200000048,A01,7,0,2,1,1
202200000048,C01,7,0,2,4,26
202200000049,A01,7,14,0,9,1
202200000050,A01,7,12,1,3,2
202200000051,A01,60,0,0,0,26
202200000052,A01,7,8,1,1,14
202200000053,A01,7,0,1,3,1
202200000054,A01,10,0,2,1,2
202200000054,B01,10,0,2,4,1
202200000055,A01,7,0,1,3,15
202200000056,A01,30,0,0,0,1
202200000057,B01,7,0,2,4,23
202200000057,A01,7,0,2,1,1
202200000058,A01,1,0,2,2,1
202200000058,B01,7,0,2,5,23
202200000059,A01,10,0,2,5,23
202200000059,B01,50,0,2,1,19
202200000060,A01,7,0,2,1,15
202200000060,B01,1,0,2,7,1
202200000061,A01,37,0,2,2,1
202200000062,A01,10,0,2,7,17
202200000062,B01,1,0,2,0,1
202200000063,B01,32,0,2,3,9
202200000063,A01,3,0,2,3,15
202200000064,A01,32,0,2,2,17
202200000064,B01,7,0,0,6,20
202200000065,A01,7,3,0,7,2
202200000066,A01,32,0,0,9,1
202200000067,A01,31,0,-1,0,0
202200000068,A01,7,0,1,2,1
202200000069,B01,99,0,2,2,1
202200000069,A01,7,0,2,4,26
202200000070,A01,14,0,1,7,1
202200000071,A01,2,0,0,9,1
202200000072,B01,7,0,2,1,1
202200000072,A01,7,0,2,1,5
202200000073,B01,14,0,2,3,1
202200000073,A01,7,0,2,3,1
202200000074,A01,7,15,0,9,0
202200000075,A01,14,0,2,8,3
202200000075,B01,7,0,2,8,1
202200000076,B01,7,0,2,2,17
202200000076,A01,33,0,2,3,15
202200000077,A01,7,0,2,1,1
202200000077,B01,7,0,2,3,16
202200000078,A01,7,16,0,9,14
202200000079,B01,7,0,2,1,1
202200000079,A01,7,0,2,1,13
202200000080,A01,7,0,2,3,1
202200000080,B01,7,13,2,2,1
202200000081,A01,7,0,1,2,1
202200000082,A01,7,0,2,1,1
202200000082,B01,17,0,2,1,1
202200000083,A01,7,0,9,3,15
202200000083,B01,80,0,2,1,1
202200000084,A01,7,13,0,1,1
202200000085,A01,7,0,0,0,21
202200000086,A01,7,2,0,1,1
202200000087,B01,7,0,2,3,9
202200000087,A01,1,0,2,1,1
202200000088,A01,7,2,0,2,1
202200000089,A01,33,0,0,0,14
202200000090,A01,7,13,0,1,1
202200000091,B01,7,0,2,3,1
202200000091,A01,7,0,2,3,13
202200000092,A01,10,0,2,2,17
202200000092,B01,1,0,2,6,1
202200000093,B01,33,0,2,1,17
202200000093,A01,7,0,9,3,13
202200000094,A01,2,0,0,2,1
202200000095,B01,7,0,2,1,9
202200000095,A01,33,15,2,7,1
202200000096,A01,7,2,0,2,14
202200000097,C01,7,0,2,1,26
202200000097,B01,7,0,2,9,26
202200000097,A01,7,0,2,1,1
202200000098,A01,7,0,2,1,1
202200000098,B01,7,0,0,4,23
202200000099,A01,7,0,1,3,1
202200000100,B01,2,0,2,7,16
202200000100,A01,33,8,2,8,1
202200000101,A01,7,13,0,9,1
202200000102,B01,7,0,2,1,0
202200000102,A01,7,0,0,4,23
202200000103,A01,7,0,2,3,13
202200000103,B01,37,0,2,1,1
202200000104,A01,17,0,0,6,1
202200000104,B01,10,0,2,2,17
202200000105,A01,7,8,0,1,1
202200000106,A01,7,1,0,1,1
202200000106,B01,7,0,0,8,24
202200000107,A01,7,13,0,2,13
202200000108,A01,10,0,2,3,1
202200000108,B01,2,0,0,4,2
202200000109,B01,7,0,2,3,1
202200000109,A01,7,0,2,3,17
202200000110,A01,31,12,0,0,17
202200000111,A01,33,4,0,7,1
202200000112,A01,2,0,2,1,0
202200000112,B01,7,13,2,1,5
202200000113,A01,7,2,0,3,1
202200000114,A01,33,14,0,1,16
202200000115,B01,33,0,2,1,18
202200000115,A01,7,0,2,2,15
202200000116,A01,7,0,2,1,13
202200000116,B01,2,0,2,1,1
202200000117,A01,33,4,0,2,13
202200000118,A01,10,0,1,2,21
202200000119,B01,7,0,2,3,1
202200000119,A01,7,0,2,2,14
202200000120,A01,7,0,2,5,17
202200000120,B01,1,0,2,3,1
202200000121,A01,7,0,1,1,1
202200000122,A01,36,0,2,2,2
202200000122,B01,36,0,2,6,1
202200000123,G01,7,0,2,0,0
202200000123,A01,10,0,2,1,1
202200000123,B01,14,0,2,2,1
202200000123,C01,7,0,2,4,1
202200000123,D01,17,0,2,1,1
202200000123,E01,7,0,2,0,0
202200000123,F01,7,0,2,0,0
202200000124,A01,7,0,2,2,1
202200000124,B01,33,0,2,7,1
202200000124,Z01,7,0,2,8,11
202200000125,A01,7,0,2,1,2
202200000125,B01,33,0,2,4,23
202200000126,D01,7,0,2,4,23
202200000126,C01,7,0,2,4,23
202200000126,B01,10,0,2,4,23
202200000126,A01,10,0,2,1,2
202200000127,A01,33,16,0,1,14
202200000128,B01,33,0,2,4,2
202200000128,A01,7,0,2,1,2
202200000129,A01,7,4,0,1,1
