Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201200000001,A01,7,0,1,7,16
201200000002,A01,7,0,2,3,16
201200000002,B02,33,0,2,8,1
201200000003,C03,7,0,2,1,1
201200000003,B02,7,0,2,8,1
201200000003,A01,33,0,2,3,13
201200000004,A01,7,0,2,2,15
201200000004,B02,30,0,2,1,1
201200000005,A01,7,0,2,1,17
201200000005,B02,38,0,2,3,1
201200000006,A01,7,0,1,2,1
201200000007,A01,7,0,1,2,1
201200000008,A01,7,0,1,2,1
201200000009,B02,7,0,2,5,2
201200000009,A01,33,0,2,1,2
201200000010,A01,7,6,0,1,14
201200000011,A01,33,0,2,7,17
201200000011,B02,7,0,2,8,17
201200000012,B02,30,0,2,1,1
201200000012,A01,7,0,2,2,16
201200000013,A01,7,0,1,3,1
201200000014,B02,21,0,2,1,1
201200000014,A01,7,0,2,1,13
201200000015,A01,33,3,0,1,1
201200000016,B02,33,0,2,1,17
201200000016,A01,7,0,0,8,10
201200000017,A01,31,0,2,1,1
201200000017,B02,7,0,0,3,1
201200000018,A01,33,6,0,1,1
201200000019,B02,17,0,2,3,15
201200000019,A01,3,0,2,7,17
201200000020,A01,14,6,0,1,1
201200000021,A01,33,0,2,7,1
201200000022,A01,7,2,0,2,1
201200000023,A01,7,0,2,1,1
201200000023,B02,14,0,2,8,0
201200000024,B02,3,0,2,3,1
201200000024,A01,7,0,2,3,1
201200000025,A01,33,13,0,1,1
201200000025,B02,7,0,0,0,15
201200000026,A01,7,0,2,5,15
201200000026,B02,33,0,2,1,1
201200000027,A01,7,0,2,7,15
201200000028,B02,7,0,2,3,15
201200000028,A01,2,0,2,8,17
201200000029,A01,7,0,2,7,17
201200000029,B02,1,0,2,8,15
201200000030,A01,1,1,0,1,1
201200000031,A01,7,6,0,8,1
201200000032,A01,7,0,0,3,15
201200000032,B02,2,0,2,1,1
201200000033,A01,7,0,2,3,10
201200000033,B02,7,0,2,2,21
201200000034,A01,7,8,0,1,0
201200000035,A01,7,13,0,1,1
201200000036,B02,1,0,2,8,1
201200000036,A01,21,0,2,5,1
201200000037,A01,7,0,0,0,1
201200000038,A01,7,8,0,2,1
201200000039,A01,31,0,2,1,1
201200000039,B02,7,0,2,2,1
201200000040,A01,33,3,2,3,2
201200000040,B02,10,0,2,5,2
201200000041,A01,2,0,2,1,18
201200000041,B02,10,0,9,2,16
201200000042,A01,7,0,1,3,1
201200000043,A01,7,13,0,1,1
201200000044,A01,7,0,1,0,1
201200000045,A01,7,0,1,2,1
201200000046,A01,7,0,2,3,1
201200000046,B02,1,0,2,1,15
201200000047,A01,7,0,2,2,15
201200000047,B02,7,0,2,1,1
201200000048,A01,7,0,2,2,13
201200000048,B02,7,0,2,2,13
201200000049,A01,2,14,0,1,1
201200000050,A01,10,13,0,1,1
201200000051,B02,10,0,2,2,1
201200000051,A01,7,0,2,1,13
201200000052,A01,33,0,2,8,1
201200000053,A01,33,0,2,1,17
201200000053,B02,7,0,2,3,15
201200000054,A01,7,0,0,5,16
201200000054,B02,2,0,2,1,1
201200000055,A01,7,0,2,4,1
201200000055,B02,7,0,2,1,1
201200000056,B02,7,13,2,5,1
201200000056,A01,10,0,2,1,9
201200000057,A01,7,0,1,2,17
201200000058,A01,7,2,0,2,13
201200000059,A01,7,10,0,2,14
201200000060,B02,7,0,2,8,15
201200000060,A01,33,0,2,1,17
201200000061,A01,7,0,2,1,13
201200000061,B02,1,0,2,4,1
201200000062,B02,10,0,2,8,1
201200000062,A01,10,0,2,3,13
201200000063,A01,33,0,0,0,1
201200000064,A01,7,2,0,1,1
201200000065,A01,33,0,2,3,13
201200000065,B02,10,0,2,3,1
201200000066,A01,7,0,1,2,1
201200000067,A01,7,6,0,1,1
201200000068,A01,7,2,0,3,17
201200000069,A01,33,0,0,0,1
201200000070,B02,7,0,0,6,1
201200000070,A01,7,0,2,1,17
201200000071,B02,2,0,2,1,1
201200000071,A01,10,0,0,5,15
201200000072,A01,10,0,2,2,15
201200000072,B02,13,0,2,1,1
201200000073,A01,7,0,1,7,1
201200000074,A01,7,0,1,1,1
201200000075,A01,33,8,0,1,1
201200000076,A01,7,0,2,3,1
201200000076,B02,7,0,2,3,1
201200000077,C03,1,0,2,4,2
201200000077,B02,1,0,2,4,2
201200000078,A01,33,6,0,1,1
201200000079,B02,7,0,2,2,1
201200000079,A01,30,0,2,8,10
201200000080,A01,3,0,0,8,10
201200000081,A01,7,9,1,1,20
201200000082,A01,7,0,2,1,15
201200000082,B02,7,0,2,1,1
201200000083,B02,10,0,0,4,1
201200000083,A01,7,0,2,1,1
201200000084,A01,2,0,0,2,12
201200000085,A01,7,0,0,7,1
201200000085,B02,7,0,2,1,1
