Num_Acc,jour,mois,an,hr,condition_eclairage,departement,commune,condition_agglomeration,intersection,condition_atmosphere,type_collision,adresse,lattitude,longitude
201500000001,20,1,15,15,1,59,52,2,1,1,3,54 RUE GHESQUIERE,0.0,0.0
201500000002,6,6,15,20,1,59,670,2,1,1,1,"25, rue anatole france",50.54878,2.91778
201500000003,8,7,15,7,1,59,11,2,1,1,2,RUE NATIOANLE,0.0,0.0
201500000004,22,7,15,19,1,59,477,2,1,1,1,rue Camille Desmoulins,0.0,0.0
201500000005,13,11,15,14,1,59,52,2,1,1,6,"113, rue Ghesquière",0.0,0.0
201500000006,28,1,15,20,3,59,257,2,1,1,3,7 r du Pont de Pierres,50.60813,2.86792
201500000007,4,6,15,22,5,59,25,1,1,1,1,,0.0,0.0
201500000008,1,8,15,19,1,59,257,1,1,1,1,,0.0,0.0
201500000009,1,10,15,5,3,59,25,1,1,1,3,,0.0,0.0
201500000010,1,3,15,20,5,59,256,2,1,1,1,4B rue gambetta FRETIN,0.0,0.0
201500000011,18,4,15,14,1,59,586,1,1,1,3,,0.0,0.0
201500000012,27,5,15,13,1,59,256,2,1,1,1,21 rue du montdesainghin,0.0,0.0
201500000013,11,6,15,8,1,59,586,2,9,7,1,rue de l' hardiniére,0.0,0.0
201500000014,6,7,15,1,5,59,586,2,3,1,3,D145 - Rue de la Quièze,0.0,0.0
201500000015,7,7,15,17,1,59,466,2,1,1,3,rue nationale,0.0,0.0
201500000016,16,8,15,0,3,59,586,1,1,1,6,,0.0,0.0
201500000017,28,3,15,8,1,59,408,2,1,2,2,rue de la mairie,0.0,0.0
201500000018,14,4,15,17,1,59,452,2,1,1,2,CD354,0.0,0.0
201500000019,17,12,15,18,4,59,408,2,1,1,3,614 rue du bouvincourt,0.0,0.0
201500000020,16,1,15,23,3,59,130,1,1,2,5,,50.896,2.238
201500000021,5,6,15,14,1,59,576,1,2,1,3,,50.977,2.314
201500000022,18,6,15,23,3,59,402,1,9,1,7,,0.0,0.0
201500000023,29,7,15,12,1,59,532,1,2,1,3,,0.0,0.0
201500000024,2,8,15,16,1,59,647,2,1,1,1,rue de saint omer,50.834,2.21
201500000025,25,10,15,18,5,59,94,2,1,1,7,RUE JEAN VARLET,50.949,2.199
201500000026,6,11,15,18,3,59,110,1,1,2,6,,0.0,0.0
201500000027,10,11,15,12,1,59,307,1,1,1,1,,50.862,2.21
201500000028,8,1,15,11,1,59,89,1,1,3,7,,0.0,0.0
201500000029,12,1,15,20,3,59,628,1,1,2,6,,0.0,0.0
201500000030,31,1,15,10,1,59,663,1,2,7,3,,0.0,0.0
201500000031,16,3,15,7,1,59,433,2,1,1,6,la place,0.0,0.0
201500000032,16,3,15,18,1,59,337,1,1,2,1,,0.0,0.0
201500000033,23,5,15,23,3,59,663,1,1,1,7,,0.0,0.0
201500000034,3,7,15,14,1,59,338,1,1,1,3,,0.0,0.0
201500000035,27,9,15,9,1,59,210,1,1,1,1,,0.0,0.0
201500000036,22,10,15,11,1,59,663,2,1,1,1,RUE D'ESQUELBECQ,0.0,0.0
201500000037,30,10,15,19,5,59,210,2,2,1,3,rue de la gare,0.0,0.0
201500000038,10,12,15,8,2,59,666,2,1,1,6,Grand Place,0.0,0.0
201500000039,18,2,15,17,1,59,578,1,1,1,3,,0.0,0.0
201500000040,18,2,15,18,1,59,308,1,1,1,3,,0.0,0.0
201500000041,27,2,15,14,1,59,590,1,1,1,6,,0.0,0.0
201500000042,10,4,15,11,1,59,497,1,1,1,7,,0.0,0.0
