Num_Acc,jour,mois,an,hr,condition_eclairage,departement,commune,condition_agglomeration,intersection,condition_atmosphere,type_collision,adresse,lattitude,longitude
202000000001,7,3,2020,16,1,91,91657,2,3,1,3,HENRI BARBUSSE (AVENUE),48.70535,2.43841
202000000002,7,3,2020,8,2,91,91657,2,9,7,6,MOUSSEAUX(CHEMIN),48.69,2.41
202000000003,7,3,2020,13,1,91,91174,2,2,1,3,CARNOT(AVENUE),48.61067,2.47582
202000000004,7,3,2020,18,5,91,91215,2,1,1,6,VICTOR HUGO (AVENUE),48.69782,2.52446
202000000005,7,3,2020,11,1,77,77181,1,6,1,2,LAGNY  (RUE DE  ) - D35,48.8286457,2.7059707
202000000006,5,3,2020,7,2,76,76114,1,2,2,3,D6015,49.5763988,0.5101875
202000000007,6,3,2020,20,5,68,68297,2,1,1,2,Avenue du General de Gaulle,47.582495,7.556327
202000000008,7,3,2020,10,1,64,64024,2,3,8,3,Boulevard du Bayonne Anglet Biarritz,43.49381,-1.52307
202000000009,6,3,2020,8,1,62,62757,2,2,1,6,CALAIS (RUE DE ....19A 71 ET 28 A 110),50.7570746,2.232542
202000000010,4,3,2020,4,3,62,62540,1,1,1,1,CD941,50.4582925,2.5756715
202000000011,5,3,2020,11,1,59,59143,2,3,1,-1,BEAUCHAMP  (RUE LEON ),50.6785,2.8742
202000000012,7,3,2020,5,4,56,56260,2,1,1,6,LECLERC(RUE DU MARECHAL),47.65811,-2.75139
202000000013,7,3,2020,6,5,54,54578,1,1,1,6,MULLER (AVENUE PAUL),48.670075,6.158319
202000000014,7,3,2020,13,1,51,51454,2,7,1,2,Avenue de l’Europe,49.2556464,4.0611947
202000000015,3,3,2020,20,5,48,48095,2,1,9,6,GEORGES CLEMENCEAU (AVENUE),44.52258,3.50279
202000000016,7,3,2020,17,1,35,35238,2,1,1,4,VERN (DE),48.0980371,-1.6554889
202000000017,7,3,2020,13,1,35,35238,2,1,1,6,GRIMAULT (2 BD LEON),48.0914,-1.65625
202000000018,7,3,2020,1,5,35,35238,2,2,1,3,CHATEAUGIRON (DE),48.09527,-1.63776
202000000019,26,2,2020,13,1,31,31483,1,1,2,7,Route de la Serre de Cazaux,43.119521,0.726779
202000000020,7,3,2020,14,1,26,26281,2,2,1,3,40 Avenue du 8 Mai,45.0468,5.08133
202000000021,7,3,2020,15,1,22,22113,2,9,8,6,FORLAC'H (RUE DU),48.732507,-3.453963
202000000022,7,3,2020,18,1,17,17300,2,1,1,6,LUXEMBOURG   AVENUE DE,46.16926,-1.17864
202000000023,7,3,2020,21,5,13,13216,2,1,1,7,RUISSEAU MI (RUE),43.3481,5.3447
202000000024,7,3,2020,3,5,13,13201,2,1,1,2,BRETEUIL (RUE)    2 A 18,43.292621,5.374876
202000000025,7,3,2020,14,1,06,06069,2,1,1,2,Route de Cannes,43.6243,6.9655
202000000026,7,3,2020,13,1,06,06027,2,1,1,1,VAL FLEURI CHEMIN DU,43.66502,7.17091
202000000027,6,3,2020,19,3,06,06123,2,1,1,1,CURIE PIERRE ET MARIE AVENUE,43.68967,7.18571
202000000028,7,3,2020,13,1,75,75113,2,3,1,6,RUE DE LA SANTE,48.828815,2.34152
202000000029,2,3,2020,15,1,75,75117,2,4,1,7,RUE VILLARET DE JOYEUSE,48.876957,2.289927
202000000030,5,3,2020,20,5,75,75116,2,3,2,3,RUE SCHEFFER,48.86028,2.284616
202000000031,4,3,2020,20,3,75,75117,2,3,2,3,BOULEVARD DE REIMS,48.889165,2.29753
202000000032,6,3,2020,20,5,75,75114,2,1,1,3,BOULEVARD ARAGO,48.834481,2.334212
202000000033,7,3,2020,10,1,75,75110,2,1,1,6,BOULEVARD DE MAGENTA,48.882726,2.350288
202000000034,7,3,2020,15,1,75,75107,2,5,1,7,QUAI BRANLY,48.862265,2.301545
202000000035,6,3,2020,21,5,75,75104,2,7,1,3,QUAI DE GESVRES,48.857181,2.347327
202000000036,7,3,2020,15,1,94,94044,2,1,1,3,PRESIDENT WILSON (AV DU),48.7514083,2.4909836
202000000037,7,3,2020,13,1,94,94033,2,2,1,2,MARECHAL DE LATTRE DE TASSIGNY (AV DU),48.8596,2.49
202000000038,7,3,2020,20,5,94,94019,2,3,1,1,LIBERATION (RTE DE LA),48.801551,2.540676
202000000039,6,3,2020,23,5,94,94017,2,1,8,3,MUSSELBURGH (R DE),48.810245,2.518189
