Num_Acc,jour,mois,an,hr,condition_eclairage,departement,commune,condition_agglomeration,intersection,condition_atmosphere,type_collision,adresse,lattitude,longitude
201400030205,9,9,14,11,1,57,672,2,1,1,6,"1, VIEUX COLLEGE (RUE DU",49.35858,6.16393
201400030206,9,9,14,12,1,57,672,2,1,1,6,"38, LIBERATION (ALLEE DE",49.36411,6.15348
201400030207,12,9,14,14,1,57,306,1,1,1,3,CD 13,0.0,0.0
201400030208,14,9,14,20,2,57,757,2,1,1,3,"1, ILLANGE (ROUTE D')",49.34395,6.17705
201400030209,20,9,14,18,1,57,368,2,1,1,3,"52, REPUBLIQUE (RUE DE L",49.34038,6.04077
201400030210,23,9,14,16,1,57,672,2,1,1,6,"1, ARLON (ROUTE D')",49.35778,6.13697
201400030211,6,10,14,12,1,57,221,2,2,1,3,"1 RUE DE LA, CENTRALE",49.31773,6.11303
201400030212,15,10,14,19,5,57,757,2,2,2,3,"121, Nations (Avenue)",49.36273,6.19874
201400030213,16,10,14,11,1,57,306,2,1,1,6,"64, PAIX (PLACE DE LA)",0.0,0.0
201400030214,23,10,14,14,1,57,757,2,1,1,3,"1, BLERIOT (RUE LOUIS)",49.35002,6.20267
201400030215,4,11,14,8,1,57,757,2,1,2,3,"6, GRAND'RUE",49.35863,6.18398
201400030216,4,11,14,16,5,57,12,2,1,2,6,"59, FOCH (RUE)",49.36441,6.05118
201400030217,8,11,14,13,1,57,672,2,1,1,6,"39, PAUL ALBERT (RUE) -",49.35636,6.14882
201400030218,9,11,14,4,5,57,672,2,1,1,6,"1, FERRONNIER (BOUCLE DU",49.35386,6.13277
201400030219,19,11,14,18,5,57,306,2,1,1,6,"6, SAINT-JEAN (AVENUE)",49.35186,6.06283
201400030220,21,11,14,0,5,57,508,2,1,1,6,"7, ALGRANGE (RUE D')",49.3434,6.03727
201400030221,2,12,14,18,5,57,757,2,1,1,3,"1, KASTLER (IMPASSE ALFR",49.35019,6.17309
201400030222,8,12,14,12,1,57,306,1,1,2,6,"0, PEUPLIERS (AVENUE DES",0.0,0.0
201400030223,10,12,14,8,2,57,672,2,1,2,6,"8, VAUBAN (AVENUE)",49.36093,6.15717
201400030224,10,12,14,17,5,57,306,2,1,2,6,"14, RUISSEAU (RUE DU)",49.33905,6.07893
201400030225,11,12,14,18,5,57,306,2,1,2,6,"17, GAULLE (RUE DE)",49.33056,6.06289
201400030226,16,12,14,8,2,57,306,2,1,2,6,"1, ARLOIS (RUE D')",49.35208,6.05928
201400030227,16,12,14,15,1,57,672,2,1,2,6,"37, GUISE (AVENUE DE) -",49.36506,6.16533
201400030228,19,12,14,17,5,57,757,2,1,2,6,"4, Nations (Avenue)",49.35533,6.18198
201400030229,20,12,14,22,5,57,306,2,1,2,6,"17, GAULLE (RUE DE)",49.33056,6.06289
201400030230,27,1,14,18,5,33,447,2,1,3,6,35 cour du gal de gaulle,0.0,0.0
201400030231,17,6,14,11,1,33,1,1,1,1,1,,0.0,0.0
201400030232,5,8,14,11,1,33,447,2,1,1,1,RD1089,0.0,0.0
201400030233,11,7,14,8,1,11,288,1,1,8,6,,0.0,0.0
201400030234,16,9,14,7,1,11,254,1,1,8,2,,0.0,0.0
201400030235,17,9,14,17,1,11,99,1,1,1,3,,0.0,0.0
201400030236,19,9,14,22,3,11,418,1,1,1,5,,43.2598,2.02645
201400030237,10,11,14,13,1,11,397,1,1,1,5,,0.0,0.0
201400030238,23,7,14,12,1,57,341,1,1,1,1,,0.0,0.0
201400030239,6,1,14,18,3,86,76,1,2,3,4,,0.0,0.0
201400030240,1,5,14,12,1,58,194,2,1,2,7,"sans, DOCKS",0.0,0.0
201400030241,6,5,14,10,1,58,194,2,1,1,7,PIERRE DE COUBERTIN,0.0,0.0
201400030242,28,5,14,11,1,58,194,2,1,1,7,GRAND MOUESSE (FAUBOURG),0.0,0.0
201400030243,18,6,14,16,1,58,194,2,1,1,7,JEROME TRESAGUET,0.0,0.0
201400030244,29,6,14,11,1,58,194,2,1,2,7,"sans, PONT DE LOIRE",0.0,0.0
201400030245,26,7,14,12,1,58,194,2,1,1,7,"sans, SAINTE HELENE",0.0,0.0
201400030246,28,7,14,13,1,58,194,2,1,2,7,"SANS, EDOUARD MILLIEN (S",0.0,0.0
201400030247,6,8,14,9,1,58,194,2,1,1,7,"22, VICTOR HUGO (BOULEVA",0.0,0.0
201400030248,17,8,14,17,1,58,194,2,1,1,7,ROMAIN ROLLAND,0.0,0.0
201400030249,20,8,14,2,5,58,194,2,1,1,7,"2, CHAMPS PACAUD",0.0,0.0
201400030250,12,9,14,12,1,58,194,2,1,1,7,ALBERT 1ER,0.0,0.0
201400030251,17,9,14,16,1,58,194,2,1,2,7,ANTONY DUVIVIER,0.0,0.0
201400030252,19,9,14,17,1,58,194,2,1,1,7,VICTOR HUGO (BOULEVARD),0.0,0.0
201400030253,30,9,14,7,1,58,194,2,1,1,7,"sans, CHAUSSADE",0.0,0.0
201400030254,26,10,14,20,5,58,194,2,1,1,7,"1, LOUIS STEVENOT (IMPAS",0.0,0.0
201400030255,28,10,14,14,1,58,194,2,1,1,7,"sans, COLBERT",0.0,0.0
201400030256,5,11,14,16,1,58,194,2,1,2,7,EDUENS (QUAI),0.0,0.0
201400030257,21,11,14,7,2,58,194,2,1,1,7,AMIRAL JACQUINOT,0.0,0.0
201400030258,24,11,14,17,2,58,194,2,1,1,7,PIERRE EMILE GASPARD,0.0,0.0
201400030259,26,11,14,12,1,58,194,2,1,1,7,PIQUE,0.0,0.0
201400030260,9,12,14,0,5,58,194,2,1,1,7,"22BIS, MARECHAL JUIN",0.0,0.0
201400030261,10,1,14,12,1,58,194,2,1,1,3,MONTE CASSINO (ROND POIN,0.0,0.0
201400030262,13,1,14,17,2,58,194,2,6,1,2,"sans, GAUTRON DU COUDRAY",0.0,0.0
201400030263,17,1,14,15,1,58,194,2,3,1,3,"sans, HENRI BOUQUILLARD",0.0,0.0
201400030264,21,1,14,10,1,58,194,2,1,1,3,HAMMAMET,0.0,0.0
201400030265,31,1,14,18,5,58,194,2,2,1,3,"sans, BANLAY",0.0,0.0
201400030266,3,2,14,12,1,58,194,2,3,1,3,"SANS, SOUVENIR FRANCAIS",0.0,0.0
201400030267,4,2,14,9,1,58,194,2,1,1,7,MARECHAL DE LATTRE DE TA,0.0,0.0
201400030268,8,2,14,10,1,58,194,2,1,8,6,PASSIERE,0.0,0.0
201400030269,9,2,14,8,1,58,194,2,2,2,3,"sans, MARZY",0.0,0.0
201400030270,10,2,14,15,1,58,194,2,1,2,2,"57, VAUZELLES",0.0,0.0
201400030271,12,2,14,16,1,58,194,2,1,2,1,"32, SAINT BENIN",0.0,0.0
201400030272,12,2,14,19,5,58,194,2,1,2,7,PIERRE DE COUBERTIN,0.0,0.0
201400030273,14,2,14,18,5,58,194,2,3,1,3,"sans, MADEMOISELLE BOURG",0.0,0.0
201400030274,15,2,14,8,1,58,194,2,1,1,6,"28, VAUZELLES",0.0,0.0
201400030275,21,2,14,15,1,58,194,2,1,1,6,"sans, JEAN DESVEAUX",0.0,0.0
201400030276,22,2,14,11,1,58,194,2,1,1,3,VAUZELLES,0.0,0.0
201400030277,5,3,14,7,1,58,194,2,1,1,6,"sans, HENRI BOUQUILLARD",0.0,0.0
201400030278,5,3,14,10,1,58,194,2,1,1,7,COLBERT,0.0,0.0
201400030279,17,3,14,10,1,58,194,2,1,1,7,"SANS, SAINT EXUPERY (BOU",0.0,0.0
201400030280,14,3,14,12,1,58,194,2,1,1,2,MARECHAL JUIN,0.0,0.0
201400030281,19,3,14,11,1,58,194,2,1,1,6,"24, PAUL BERT",0.0,0.0
201400030282,22,3,14,0,5,58,194,2,3,3,3,"sans, MARZY",0.0,0.0
201400030283,19,3,14,16,1,58,194,2,1,1,3,PIERRE MENDES FRANCE (SQ,0.0,0.0
201400030284,21,3,14,18,1,58,194,2,1,1,7,FERDINAND GAMBON,0.0,0.0
201400030285,26,3,14,21,5,58,194,2,1,1,3,FONTAINE D'ARGENT (PLACE,0.0,0.0
201400030286,28,3,14,18,1,58,194,2,1,1,6,"SANS, PIERRE DE COUBERTI",0.0,0.0
201400030287,4,4,14,17,1,58,194,2,1,3,6,"sans, GENERAL DE GAULLE",0.0,0.0
201400030288,10,4,14,11,1,58,194,2,1,1,2,"42, TREIZIEME DE LIGNE",0.0,0.0
201400030289,8,4,14,12,1,58,194,2,1,1,7,MARZY,0.0,0.0
201400030290,21,4,14,19,2,58,194,2,1,1,2,"4bis, BARATTE (FAUBOURG)",0.0,0.0
201400030291,23,4,14,12,1,58,194,2,3,1,3,"sans, BERNARD PALISSY",0.0,0.0
201400030292,26,4,14,13,1,58,194,2,1,2,1,"sans, GERMINE",0.0,0.0
201400030293,22,4,14,8,1,58,194,2,1,1,7,"sans, TREIZIEME DE LIGNE",0.0,0.0
201400030294,14,4,14,17,1,58,194,2,1,1,6,"46, MARZY",0.0,0.0
201400030295,5,5,14,13,1,58,194,2,1,1,3,"9, PERE DE FOUCAULD",0.0,0.0
201400030296,9,5,14,7,1,58,194,2,1,1,6,MARECHAL JUIN,0.0,0.0
201400030297,9,5,14,18,1,58,194,2,1,1,6,"13, GENERAL DE GAULLE",0.0,0.0
201400030298,25,4,14,19,1,58,194,2,3,1,3,"sans, GONZAGUE",0.0,0.0
201400030299,16,5,14,8,1,58,194,2,2,1,6,SAINT GILDARD,0.0,0.0
201400030300,17,5,14,17,1,58,194,2,3,1,3,ANDRE THUILLIER,0.0,0.0
201400030301,19,5,14,7,1,58,194,2,1,1,7,"49, GENERAL DE GAULLE",0.0,0.0
201400030302,8,5,14,12,1,58,194,2,1,1,6,"SANS, EDME LABORDE",0.0,0.0
201400030303,20,5,14,18,1,58,194,2,1,1,3,VAUZELLES,0.0,0.0
201400030304,21,5,14,17,1,58,194,2,1,1,6,BARATTE (FAUBOURG),0.0,0.0
