Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201500000001,A01,33,0,2,1,1
201500000001,B02,7,0,2,5,20
201500000002,A01,30,12,2,3,17
201500000002,B02,7,0,2,3,23
201500000003,B02,30,0,2,1,1
201500000003,A01,7,0,2,4,1
201500000004,A01,7,0,2,1,1
201500000004,B02,2,0,2,1,13
201500000005,A01,7,0,1,0,1
201500000006,B02,7,0,2,1,1
201500000006,A01,7,7,2,5,19
201500000007,A01,7,0,2,1,11
201500000007,B02,7,0,2,1,1
201500000008,A01,7,0,2,3,13
201500000008,B02,7,0,2,3,1
201500000009,A01,7,0,2,1,1
201500000009,B02,7,0,2,8,15
201500000010,B02,31,0,2,1,0
201500000010,A01,10,0,0,3,15
201500000011,A01,7,0,2,7,19
201500000011,B02,33,0,2,1,1
201500000012,B02,33,0,2,1,1
201500000012,A01,10,0,2,3,15
201500000013,A01,2,0,2,1,1
201500000013,B02,7,0,2,3,15
201500000014,B02,7,0,2,1,19
201500000014,A01,7,0,0,2,1
201500000015,A01,7,0,2,1,9
201500000015,B02,31,0,2,7,17
201500000016,A01,7,8,0,2,1
201500000017,B02,7,0,2,2,2
201500000017,A01,7,0,2,4,2
201500000018,A01,33,0,2,1,17
201500000018,B02,7,0,2,4,15
201500000019,B02,33,0,2,2,1
201500000019,A01,7,0,2,1,10
201500000020,B02,7,0,2,1,1
201500000020,C03,7,0,2,2,1
201500000020,D04,7,0,9,0,1
201500000020,A01,7,0,2,1,0
201500000021,A01,7,0,2,3,1
201500000021,B02,7,0,2,8,19
201500000022,A01,7,13,0,1,0
201500000023,A01,7,0,0,1,0
201500000023,B02,30,0,0,7,0
201500000024,A01,10,0,2,1,1
201500000024,B02,31,0,2,7,15
201500000025,A01,7,0,1,5,1
201500000026,A01,7,0,1,3,1
201500000027,B02,7,0,2,1,1
201500000027,A01,7,0,2,1,13
201500000028,A01,7,13,0,1,1
201500000029,A01,30,0,2,8,0
201500000030,A01,7,0,2,1,1
201500000030,B02,7,0,2,2,19
201500000031,A01,7,6,0,1,1
201500000032,A01,7,0,2,3,17
201500000032,B02,7,0,2,1,2
201500000033,A01,21,0,0,9,1
201500000034,A01,10,0,2,1,19
201500000034,B02,7,0,0,8,1
201500000035,A01,7,0,2,1,13
201500000035,B02,7,0,2,1,1
201500000036,B02,14,0,2,1,1
201500000036,A01,7,0,2,1,5
201500000037,B02,7,0,2,1,1
201500000037,A01,7,0,2,8,15
201500000038,A01,14,0,1,7,16
201500000039,A01,7,0,2,8,19
201500000039,B02,7,0,2,1,1
201500000040,B02,7,0,2,1,1
201500000040,A01,7,0,2,3,19
201500000041,A01,7,8,0,7,14
201500000042,A01,33,0,0,0,17
201500000043,A01,7,13,0,1,14
201500000044,A01,33,13,0,1,1
201500000045,A01,7,0,2,1,19
201500000045,B02,7,0,0,8,1
201500000046,A01,7,13,0,9,1
201500000047,B02,10,0,2,1,1
201500000047,C03,7,0,2,3,21
201500000047,A01,7,0,2,1,13
201500000048,A01,33,0,2,1,17
201500000048,B02,99,0,2,3,15
201500000049,A01,35,0,2,3,13
201500000049,C03,7,0,2,7,1
201500000049,B02,7,0,2,3,1
201500000050,A01,7,0,2,2,17
201500000050,C03,7,0,2,7,1
201500000050,B02,7,0,2,6,2
201500000051,A01,7,0,1,3,1
201500000052,A01,30,0,2,1,5
201500000052,B02,7,0,2,2,1
201500000053,A01,7,13,0,2,14
201500000054,A01,10,8,0,1,1
201500000055,B02,33,0,2,1,21
201500000055,A01,7,0,2,3,10
201500000056,A01,37,0,1,3,1
201500000057,A01,7,0,1,3,1
201500000058,A01,7,13,0,1,1
201500000059,B02,14,0,0,3,1
201500000059,A01,7,0,0,3,13
201500000060,A01,7,6,0,1,1
201500000061,A01,7,2,0,1,19
201500000062,A01,7,0,2,7,17
201500000062,B02,1,0,2,8,1
201500000063,B02,7,0,2,3,1
201500000063,A01,7,0,2,3,13
201500000064,A01,7,0,1,2,2
201500000065,A01,7,13,0,4,1
201500000066,A01,7,6,0,2,13
201500000067,B02,7,0,2,8,15
201500000067,A01,36,0,2,1,1
201500000068,B02,7,0,2,8,2
201500000068,A01,7,8,2,8,2
201500000069,B02,7,0,2,1,1
201500000069,A01,7,0,2,7,13
201500000070,A01,33,13,0,1,1
201500000071,B02,7,0,2,2,1
201500000071,A01,7,0,2,2,13
201500000072,A01,7,0,1,6,4
201500000073,C03,7,0,2,1,1
201500000073,A01,7,0,2,1,6
201500000073,B02,7,0,2,1,1
201500000074,A01,10,0,2,3,15
201500000074,B02,33,0,2,1,1
201500000075,B02,2,0,2,7,1
201500000075,A01,7,0,2,3,16
201500000076,A01,33,0,0,1,1
201500000077,A01,7,0,0,3,0
201500000077,B02,33,0,0,3,0
201500000078,A01,7,0,2,1,5
201500000078,B02,7,0,2,1,1
201500000079,A01,7,13,0,3,1
201500000080,A01,7,13,0,1,1
201500000081,A01,7,0,2,1,15
201500000081,B02,10,0,2,1,1
201500000082,A01,2,0,4,6,1
201500000082,B02,39,0,2,3,1
201500000083,A01,7,2,0,1,1
201500000084,A01,7,13,0,1,1
201500000085,A01,99,11,0,1,1
201500000086,A01,30,12,0,1,1
201500000087,A01,33,8,0,1,1
201500000088,A01,7,0,2,1,1
201500000088,B02,7,0,2,1,1
201500000089,A01,7,6,0,1,1
201500000090,A01,33,0,2,1,17
201500000090,B02,10,0,2,3,15
201500000091,A01,7,0,1,1,15
201500000092,A01,7,0,2,2,1
201500000092,B02,1,0,2,3,13
201500000093,A01,32,0,9,3,1
201500000093,B02,1,0,2,1,0
201500000094,A01,7,8,0,1,1
201500000095,A01,33,12,0,1,1
201500000096,A01,7,0,1,3,9
201500000097,B02,1,0,2,8,1
201500000097,A01,14,0,2,3,16
201500000098,A01,7,0,2,3,15
201500000098,B02,33,0,2,1,17
201500000099,B02,7,0,2,1,0
201500000099,C03,7,0,2,3,0
201500000099,A01,7,0,2,1,5
201500000100,A01,7,13,0,1,1
201500000101,B02,21,0,2,6,15
201500000101,A01,7,0,2,1,2
201500000102,B02,1,0,2,4,2
201500000102,A01,7,0,9,2,2
201500000103,A01,7,8,0,7,0
201500000104,A01,7,1,0,1,0
201500000105,A01,7,0,2,3,1
201500000105,B02,7,0,0,3,1
201500000106,A01,7,0,0,7,10
201500000106,B02,7,0,2,1,1
201500000107,A01,7,0,0,1,1
201500000107,B02,15,0,0,1,1
201500000108,A01,7,14,0,9,1
201500000109,A01,30,0,2,1,1
201500000109,B02,7,0,2,1,13
201500000110,B02,1,0,0,8,2
201500000110,A01,21,0,2,5,17
201500000111,B02,7,0,2,1,1
201500000111,A01,7,0,2,1,1
201500000112,A01,7,13,0,1,13
201500000113,A01,30,0,2,1,1
201500000114,A01,7,0,1,3,1
201500000115,A01,7,6,0,1,15
201500000116,A01,7,0,1,2,1
201500000117,A01,7,13,0,1,1
201500000118,A01,7,13,0,3,0
201500000119,A01,7,0,2,0,15
201500000119,B02,7,0,2,8,0
201500000120,A01,1,0,1,0,0
201500000121,B02,33,0,2,7,21
201500000121,A01,7,0,2,3,19
201500000122,A01,36,0,0,7,10
201500000123,A01,7,0,2,1,13
201500000123,B02,10,0,2,3,1
201500000124,B02,7,0,2,6,1
201500000124,A01,7,0,2,2,9
201500000125,B02,7,0,2,1,1
201500000125,A01,7,0,2,2,13
201500000126,A01,30,0,2,1,1
201500000126,B02,7,0,0,6,16
201500000127,B02,33,0,2,1,1
201500000127,A01,10,0,2,3,15
201500000128,A01,7,15,1,2,1
201500000129,A01,7,15,0,2,0
201500000130,B02,7,0,9,1,1
201500000130,A01,33,16,0,0,16
201500000131,C03,7,0,2,8,2
201500000131,B02,7,0,2,1,1
201500000131,A01,7,0,2,1,5
201500000132,A01,7,0,2,7,1
201500000132,B02,7,0,2,1,1
201500000133,B02,7,0,2,1,1
201500000133,A01,7,0,2,1,1
201500000134,A01,7,0,1,2,19
201500000135,A01,7,13,0,3,1
201500000136,A01,7,0,2,3,1
201500000136,B02,7,0,2,3,1
201500000137,A01,30,6,0,1,1
201500000138,A01,14,0,2,3,1
201500000138,B02,7,0,2,1,15
201500000139,A01,33,15,0,1,1
201500000140,A01,7,1,1,2,1
201500000141,A01,7,0,0,8,1
201500000142,A01,30,0,1,1,21
201500000143,A01,30,0,0,8,0
201500000144,A01,7,0,1,3,1
201500000145,A01,10,0,1,2,1
201500000146,A01,7,1,0,3,9
201500000146,B02,30,0,2,1,1
201500000147,B02,7,0,2,1,13
201500000147,A01,7,0,2,8,1
201500000148,A01,10,0,1,7,1
201500000149,A01,7,1,1,5,4
201500000150,A01,31,6,0,1,1
201500000151,A01,7,0,1,2,16
201500000152,A01,7,0,1,2,1
201500000153,A01,7,6,0,3,1
201500000154,A01,2,0,0,8,15
201500000154,B02,7,0,2,3,1
201500000155,C03,7,0,2,8,24
201500000155,A01,7,1,0,2,1
201500000155,B02,10,0,2,6,24
201500000156,A01,7,8,2,8,19
201500000156,B02,17,0,2,1,1
201500000157,B02,7,0,2,3,1
201500000157,A01,7,0,2,3,1
201500000158,B02,7,0,2,5,1
201500000158,A01,7,13,2,3,2
201500000159,A01,7,0,2,1,13
201500000159,B02,7,0,2,1,1
201500000160,B02,7,0,2,6,16
201500000160,A01,7,0,2,1,1
201500000161,A01,7,0,2,3,1
201500000161,B02,7,0,2,3,1
201500000162,A01,7,0,2,8,13
201500000162,B02,21,0,2,8,1
201500000163,A01,7,6,0,2,1
201500000164,B02,7,0,2,3,1
201500000164,A01,7,0,2,3,5
201500000165,A01,7,0,2,1,13
201500000165,B02,7,0,2,3,1
201500000166,A01,99,0,1,1,1
201500000167,A01,7,14,1,3,0
201500000168,A01,7,13,0,1,13
201500000169,B02,7,0,2,1,13
201500000169,A01,7,0,2,1,0
201500000170,A01,7,14,0,1,1
201500000171,A01,32,0,2,1,2
201500000171,B02,7,0,2,4,2
201500000172,B02,10,0,2,4,2
201500000172,E05,7,0,0,5,2
201500000172,A01,15,0,2,3,2
201500000172,D04,7,0,0,4,2
201500000172,C03,7,0,2,4,2
201500000173,A01,31,0,2,1,1
201500000173,B02,7,0,0,8,15
201500000174,B02,30,0,2,1,1
201500000174,A01,7,0,2,8,9
201500000175,A01,7,0,1,3,1
201500000176,B02,7,0,2,3,15
201500000176,A01,33,0,2,1,17
201500000177,A01,7,0,1,1,1
201500000178,A01,33,0,0,0,0
201500000179,A01,31,0,0,0,14
201500000180,A01,7,1,0,7,1
201500000181,A01,33,0,2,7,1
201500000181,B02,7,0,0,1,15
201500000182,B02,10,0,2,3,0
201500000182,A01,10,0,2,2,1
201500000183,A01,10,0,2,3,13
201500000183,B02,3,0,2,1,1
201500000184,A01,7,8,0,8,1
201500000185,A01,7,13,0,3,13
201500000186,A01,7,0,2,3,13
201500000186,B02,37,0,2,3,1
201500000187,A01,7,0,2,1,13
201500000187,B02,20,0,2,1,1
201500000188,A01,31,13,0,1,1
201500000189,B02,33,0,2,8,1
201500000189,A01,7,0,2,8,1
201500000190,A01,7,0,2,2,2
201500000190,B02,1,0,0,4,0
201500000191,B02,7,0,2,3,0
201500000191,A01,10,0,2,2,19
201500000192,B02,20,0,2,4,1
201500000192,A01,7,0,2,4,1
201500000192,C03,7,0,2,1,1
201500000193,A01,7,0,2,7,1
201500000193,B02,7,0,2,3,15
201500000194,A01,7,2,0,3,1
201500000195,A01,7,3,2,4,1
201500000195,B02,7,5,2,1,2
201500000196,A01,7,0,5,5,20
201500000196,B02,7,0,2,3,21
201500000196,C03,7,0,2,5,21
201500000197,A01,7,0,0,1,1
201500000198,A01,7,0,2,2,17
201500000198,B02,7,0,0,6,2
201500000199,A01,7,4,0,3,13
201500000199,B02,7,14,2,3,1
201500000200,A01,7,4,0,2,1
201500000201,A01,7,0,2,3,9
201500000201,B02,14,0,2,2,1
201500000202,A01,7,3,0,3,2
201500000203,A01,7,0,2,7,13
201500000203,B02,7,0,2,2,1
201500000204,A01,33,0,0,3,1
201500000205,A01,7,2,0,1,0
201500000206,A01,7,0,2,1,1
201500000206,B02,7,0,2,3,1
201500000207,A01,10,0,0,3,1
201500000207,B02,21,0,0,2,1
201500000208,A01,33,0,0,7,1
201500000209,A01,7,0,0,2,1
201500000209,B02,1,0,2,1,1
201500000210,A01,33,2,0,1,1
201500000211,A01,7,0,2,3,13
201500000211,B02,7,0,2,3,1
201500000212,A01,33,0,2,0,17
201500000212,B02,7,0,2,0,17
201500000213,A01,7,0,2,3,13
201500000213,B02,7,0,2,8,1
201500000214,B02,10,0,2,8,19
201500000214,A01,7,0,2,1,1
201500000215,A01,7,0,2,1,1
201500000215,B02,3,0,2,4,1
201500000216,A01,7,0,2,1,5
201500000216,B02,7,0,2,1,1
201500000217,A01,7,0,2,2,1
201500000217,B02,14,0,2,7,13
201500000218,A01,7,0,2,8,15
201500000218,B02,1,0,2,1,17
201500000219,A01,31,12,0,1,1
201500000220,A01,7,0,2,3,1
201500000220,B02,15,0,2,6,1
201500000221,A01,7,0,0,4,1
201500000221,B02,7,0,2,1,17
201500000222,B02,7,0,2,8,1
201500000222,C03,7,0,2,1,1
201500000222,A01,7,0,2,2,1
201500000223,A01,7,0,2,2,10
201500000223,B02,33,0,2,1,1
201500000224,B02,7,0,2,8,1
201500000224,A01,7,0,2,1,1
201500000225,A01,33,0,2,1,1
201500000225,B02,10,0,2,5,15
201500000225,C03,7,0,2,3,1
201500000226,A01,7,0,1,2,1
201500000227,A01,7,0,0,9,17
201500000228,A01,7,0,2,1,1
201500000228,B02,7,0,2,8,15
201500000229,A01,10,0,2,3,13
201500000229,B02,20,0,2,3,13
201500000230,A01,7,0,2,1,1
201500000230,B02,7,0,2,1,1
201500000230,C03,7,0,2,3,15
201500000230,D04,15,0,2,9,1
201500000231,B02,7,0,2,7,19
201500000231,A01,7,0,2,1,1
201500000232,A01,10,0,2,8,15
201500000232,B02,10,0,2,1,17
201500000233,A01,33,0,0,1,1
201500000234,A01,7,6,0,1,1
201500000235,A01,7,0,2,1,1
201500000235,B02,2,0,2,7,19
201500000236,A01,30,9,0,2,1
201500000237,A01,33,0,0,0,17
201500000238,A01,33,0,0,2,0
201500000238,B02,2,0,0,6,0
201500000239,A01,7,0,1,1,1
201500000240,A01,7,0,4,7,0
201500000240,B02,39,0,2,1,0
201500000241,A01,7,0,2,2,2
201500000241,B02,30,0,2,8,2
201500000242,A01,7,13,0,9,1
201500000243,A01,7,0,2,6,1
201500000243,B02,7,0,2,1,19
201500000244,A01,7,0,2,3,5
201500000244,B02,32,0,2,3,13
201500000245,A01,7,13,0,9,1
201500000246,A01,1,1,0,1,1
201500000247,A01,7,0,2,2,2
201500000247,B02,20,0,2,6,1
201500000248,A01,7,0,2,1,1
201500000248,B02,1,0,2,8,17
201500000249,B01,7,0,2,1,0
201500000249,A01,7,0,2,7,19
201500000250,A01,7,0,1,0,0
201500000251,A01,7,12,0,9,2
201500000252,A01,2,0,2,3,1
201500000252,B02,10,0,2,3,2
201500000253,A01,7,0,2,1,13
201500000253,B02,7,0,2,1,0
201500000254,A01,33,0,2,1,1
201500000254,B02,7,0,2,3,15
201500000255,A01,31,2,0,2,1
201500000256,A01,7,16,0,1,1
201500000257,A01,17,0,2,2,1
201500000257,B02,7,0,2,5,1
201500000258,A01,10,2,0,3,1
201500000259,A01,99,0,2,1,1
201500000259,B02,1,0,2,4,1
201500000260,A01,7,0,2,6,15
201500000260,B02,33,0,2,1,17
201500000261,A01,2,0,0,0,0
201500000262,A01,7,2,0,1,0
201500000263,A01,7,0,9,7,1
201500000263,B02,1,0,2,1,1
201500000264,A01,7,1,1,2,21
201500000265,A01,33,0,0,1,1
201500000266,A01,32,0,2,2,1
201500000266,B02,7,0,2,3,1
201500000267,B02,30,0,2,1,1
201500000267,A01,7,0,2,2,15
201500000268,A01,7,0,1,2,1
201500000269,A01,7,2,0,3,1
201500000270,A01,7,0,2,2,1
201500000270,B02,30,0,2,4,15
201500000271,A01,7,6,0,3,1
201500000272,A01,3,0,2,2,13
201500000272,B02,7,0,2,3,15
201500000273,A01,33,0,0,0,1
201500000274,A01,7,3,2,6,17
201500000274,B02,7,3,2,6,1
201500000275,A01,33,0,2,1,3
201500000275,B02,7,0,2,2,11
201500000275,C03,7,0,2,6,1
201500000276,A01,7,2,0,2,1
201500000277,A01,7,0,2,7,15
201500000277,B02,7,0,2,1,1
201500000278,A01,33,0,2,1,2
201500000278,B02,7,0,9,8,15
201500000279,A01,7,0,0,2,1
201500000279,B02,7,0,0,3,0
201500000280,A01,7,0,2,3,1
201500000280,B02,14,0,2,3,1
201500000281,A01,7,2,0,1,1
201500000282,A01,7,13,0,3,13
201500000283,A01,7,13,0,0,1
201500000284,A01,33,0,2,2,21
201500000284,B02,7,0,2,3,10
201500000285,A01,7,0,2,7,0
201500000285,B02,7,0,2,1,0
201500000286,A01,7,1,0,3,2
201500000286,B02,33,0,0,4,0
201500000287,A01,2,8,0,1,0
201500000288,A01,10,0,1,1,1
201500000289,A01,15,0,1,4,23
201500000289,B02,7,0,2,1,1
201500000290,A01,36,1,0,3,0
201500000291,A01,10,0,1,7,1
201500000292,A01,7,0,0,0,0
201500000293,A01,31,0,0,7,16
201500000293,B02,31,0,0,1,1
201500000294,A01,33,0,9,1,1
201500000295,A01,2,0,2,1,1
201500000295,B02,17,0,2,1,1
201500000296,A01,7,0,2,7,15
201500000296,B02,2,0,2,1,1
201500000297,A01,7,2,0,1,1
