Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
202100000001,B01,1,0,2,1,1
202100000001,A01,7,0,9,3,17
202100000002,A01,7,2,2,1,1
202100000002,B01,7,0,2,1,9
202100000003,A01,7,0,1,3,1
202100000004,A01,7,0,2,3,15
202100000004,D01,60,0,0,7,19
202100000005,A01,7,0,2,4,1
202100000005,Z01,7,0,2,1,0
202100000006,B01,1,0,0,5,1
202100000006,A01,7,0,2,1,1
202100000007,B01,7,0,2,2,11
202100000007,A01,7,0,2,2,1
202100000008,B01,32,0,2,1,1
202100000008,A01,7,0,0,6,10
202100000009,A01,7,0,2,5,15
202100000009,B01,7,0,2,1,1
202100000010,A01,99,0,2,7,7
202100000010,B01,37,0,2,3,2
202100000011,A01,7,0,2,2,16
202100000011,B01,99,0,2,1,26
202100000012,A01,7,0,2,2,1
202100000012,B01,10,16,2,2,19
202100000013,A01,7,0,2,1,2
202100000013,B01,2,0,0,4,2
202100000014,A01,7,0,2,2,16
202100000014,B01,60,0,2,0,0
202100000015,B01,7,0,2,3,1
202100000015,A01,7,0,2,2,19
202100000016,A01,15,1,0,1,1
202100000017,A01,7,0,0,7,5
202100000017,B01,7,0,0,1,1
202100000018,B01,7,0,0,4,1
202100000018,A01,14,0,2,1,1
202100000019,B01,7,0,2,8,1
202100000019,A01,7,0,2,3,13
202100000020,A01,0,0,2,5,2
202100000020,B01,33,0,2,4,2
202100000021,B01,32,0,2,7,0
202100000021,A01,7,0,2,3,19
202100000022,A01,7,0,2,1,0
202100000022,B01,7,9,2,2,15
202100000023,A01,7,0,1,1,19
202100000024,B01,7,0,2,1,1
202100000024,A01,7,0,2,1,5
202100000025,A01,33,5,0,1,1
202100000026,C01,7,0,2,5,23
202100000026,B01,7,0,0,3,22
202100000026,A01,33,0,2,7,3
202100000027,A01,2,0,2,4,1
202100000027,B01,10,0,2,2,2
202100000028,A01,7,0,2,3,9
202100000028,B01,32,0,2,1,21
202100000029,A01,10,0,1,2,1
202100000030,A01,7,0,1,1,1
202100000031,A01,7,1,0,4,26
202100000032,B01,15,0,2,1,2
202100000032,A01,99,0,2,4,1
202100000033,A01,7,0,1,1,17
202100000034,A01,7,0,1,1,20
202100000035,A01,7,0,1,1,16
202100000036,A01,10,13,0,1,1
202100000037,A01,7,0,1,2,1
202100000038,B01,1,0,2,1,1
202100000038,A01,0,0,2,4,17
202100000039,A01,7,0,2,7,15
202100000039,B01,2,0,2,1,1
202100000040,B01,31,0,2,1,19
202100000040,A01,34,16,0,1,26
202100000041,A01,7,0,2,1,1
202100000041,B01,32,0,2,7,21
202100000042,B01,7,0,2,3,1
202100000042,A01,7,0,2,3,13
202100000043,A01,7,16,0,-1,13
202100000044,A01,7,3,2,1,1
202100000044,B01,7,14,0,7,21
202100000044,C01,7,14,0,2,1
202100000044,D01,7,14,0,1,1
202100000044,E01,7,3,0,7,21
202100000045,A01,32,0,1,1,1
202100000046,A01,7,0,2,3,13
202100000046,B01,10,0,2,8,1
202100000047,A01,31,0,2,1,1
202100000047,B01,7,0,2,3,1
202100000048,B01,7,0,2,1,19
202100000048,A01,7,0,2,2,1
202100000048,C01,7,0,2,3,1
202100000049,B01,7,0,2,1,1
202100000049,A01,7,0,2,4,23
202100000050,B01,7,0,2,4,1
202100000050,A01,33,0,2,1,26
202100000051,B01,7,0,2,1,1
202100000051,A01,1,0,2,8,1
202100000052,A01,7,0,1,3,19
202100000053,A01,99,0,2,3,10
202100000053,B01,33,0,2,1,1
202100000054,A01,7,1,0,2,26
202100000055,A01,32,1,2,3,18
202100000055,B01,7,0,2,7,1
202100000056,A01,30,0,0,1,14
202100000057,B01,10,0,2,1,1
202100000057,A01,7,0,2,1,16
202100000058,A01,10,0,2,2,1
202100000058,B01,10,0,2,3,1
202100000059,A01,33,0,0,8,0
202100000060,A01,7,0,2,3,1
202100000060,B01,7,0,2,3,1
202100000061,A01,7,0,2,2,15
202100000061,B01,7,0,2,1,1
202100000062,A01,50,0,1,1,1
202100000063,A01,2,0,6,1,1
202100000064,A01,7,0,-1,4,1
202100000064,B01,7,0,0,1,1
202100000065,A01,50,0,1,1,26
202100000066,A01,7,0,1,1,1
202100000067,A01,7,0,2,1,1
202100000067,B01,33,0,2,2,15
202100000068,A01,7,13,0,3,1
202100000069,A01,7,0,2,3,5
202100000069,B01,7,0,0,0,0
202100000070,B01,1,0,2,0,0
202100000070,A01,7,0,2,0,0
202100000071,B01,1,0,0,0,0
202100000071,A01,7,0,2,3,21
202100000072,A01,10,0,0,-1,1
202100000073,A01,7,0,1,2,16
202100000074,A01,7,0,1,1,1
202100000075,D01,7,0,2,1,2
202100000075,C01,7,0,2,1,2
202100000075,B01,7,0,2,1,2
202100000075,A01,7,0,0,0,0
202100000076,A01,2,0,0,0,26
202100000077,A01,7,0,1,0,26
202100000078,A01,7,0,2,3,26
202100000078,B01,2,0,2,3,15
202100000079,B01,99,0,2,1,1
202100000079,A01,10,0,2,8,15
202100000080,A01,7,8,0,1,9
202100000081,A01,7,2,0,1,1
202100000082,A01,7,0,2,3,19
202100000082,B01,30,0,2,1,17
202100000083,A01,33,0,1,1,1
202100000084,A01,7,0,2,3,1
202100000084,B01,7,0,2,1,1
202100000085,A01,7,5,0,1,0
202100000086,A01,99,4,0,0,26
202100000087,B01,7,0,2,1,0
202100000087,A01,50,0,2,1,13
202100000088,A01,7,6,0,1,1
202100000089,B01,33,-1,2,2,1
202100000089,A01,7,0,2,8,1
202100000090,B01,60,0,2,3,19
202100000090,A01,7,0,1,1,1
202100000091,A01,7,0,2,8,1
202100000091,B01,31,0,2,0,13
202100000092,A01,7,0,2,2,1
202100000092,B01,2,0,2,8,19
202100000093,A01,7,0,1,3,19
202100000094,A01,7,3,2,1,14
202100000095,A01,3,1,0,1,0
202100000096,A01,7,0,2,3,9
202100000096,B01,50,0,2,1,0
202100000097,A01,3,0,2,3,19
202100000097,B01,2,0,2,1,0
