Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201700000001,B01,7,0,2,3,9
201700000001,A01,10,0,2,3,13
201700000002,A01,7,0,0,1,16
201700000002,B01,1,0,0,7,1
201700000003,C01,10,0,2,1,1
201700000003,A01,7,0,2,3,13
201700000003,B01,7,0,2,6,1
201700000004,A01,7,6,0,1,1
201700000005,B01,33,1,2,1,1
201700000005,A01,7,0,2,5,19
201700000006,A01,34,12,0,1,17
201700000007,A01,2,1,0,1,13
201700000007,B01,7,0,0,0,1
201700000008,B01,7,0,0,1,19
201700000008,A01,33,0,0,1,1
201700000009,A01,7,2,0,4,2
201700000010,A01,33,0,0,0,1
201700000011,A01,17,0,1,2,1
201700000012,A01,33,13,0,1,1
201700000013,A01,7,0,2,3,0
201700000013,B01,14,0,2,3,0
201700000014,A01,7,0,2,1,1
201700000014,B01,7,0,2,1,5
201700000015,A01,31,0,0,8,2
201700000016,B01,10,0,2,8,17
201700000016,A01,33,0,2,7,17
201700000016,C01,14,0,2,3,1
201700000017,A01,7,0,1,2,1
201700000018,B01,7,0,0,3,15
201700000018,A01,33,0,2,1,17
201700000019,B01,1,0,2,2,2
201700000019,A01,7,0,2,8,2
201700000020,A01,33,0,2,1,17
201700000020,B01,7,0,2,8,15
201700000021,A01,7,0,0,7,19
201700000021,B01,7,0,2,1,1
201700000021,C01,7,0,2,2,23
201700000022,B01,1,0,2,1,1
201700000022,A01,7,0,2,6,19
201700000023,B01,7,0,0,6,15
201700000023,A01,2,0,2,1,17
201700000024,A01,7,13,0,1,19
201700000025,A01,7,2,0,1,1
201700000026,A01,31,0,2,1,1
201700000026,B01,7,0,0,8,15
201700000027,A01,7,0,0,1,0
201700000028,A01,30,0,2,5,15
201700000028,B01,7,0,2,2,1
201700000029,A01,33,13,0,1,14
201700000030,A01,7,0,1,1,1
201700000031,B01,33,0,2,1,2
201700000031,A01,7,0,0,4,2
201700000032,B01,21,0,0,6,1
201700000032,A01,7,0,9,2,1
201700000033,A01,7,0,1,1,1
201700000034,B01,7,0,2,3,1
201700000034,A01,7,0,2,3,1
201700000035,A01,7,0,2,3,1
201700000035,B01,33,0,2,3,1
201700000036,A01,2,0,2,8,23
201700000037,B01,7,0,2,1,1
201700000037,A01,7,0,2,5,13
201700000038,A01,33,8,0,1,1
201700000039,A01,7,8,0,1,2
201700000040,A01,7,13,0,1,1
201700000041,A01,7,0,1,7,1
201700000042,A01,7,0,9,2,2
201700000042,B01,1,0,0,0,2
201700000043,A01,1,0,1,1,1
201700000044,A01,33,0,2,4,15
201700000044,B01,7,0,2,2,1
201700000045,A01,7,0,1,1,16
201700000046,A01,7,0,2,3,13
201700000046,B01,7,0,2,3,1
201700000047,B01,7,0,2,2,16
201700000047,A01,34,1,2,1,18
201700000048,A01,7,2,0,8,1
201700000049,A01,7,1,1,1,1
201700000050,A01,3,0,1,4,4
201700000051,A01,10,0,1,1,1
201700000052,A01,2,1,2,1,18
201700000052,B01,7,0,2,7,15
201700000053,A01,7,0,1,2,1
201700000054,A01,7,13,2,3,0
201700000054,B01,7,0,2,3,0
201700000055,B01,7,0,2,3,15
201700000055,A01,7,13,2,1,1
201700000056,A01,2,0,2,1,1
201700000056,B01,10,0,2,6,15
201700000057,B01,33,0,2,1,17
201700000057,A01,7,0,0,6,15
201700000058,B01,1,0,2,1,5
201700000058,A01,7,0,9,2,16
201700000059,A01,7,7,0,1,1
201700000060,A01,7,13,0,3,13
201700000061,B01,7,0,2,8,15
201700000061,A01,7,0,2,3,1
201700000062,A01,7,0,2,3,9
201700000062,B01,1,0,2,1,1
201700000063,A01,7,9,0,1,2
201700000064,A01,7,0,0,2,0
201700000065,A01,7,0,0,4,2
201700000065,B01,7,0,0,1,2
201700000065,C01,1,0,0,0,9
201700000066,A01,7,6,0,2,1
201700000067,B01,7,0,0,1,1
201700000067,A01,7,0,0,4,1
201700000068,A01,7,0,1,2,1
201700000069,A01,7,0,1,2,1
201700000070,A01,7,0,1,2,1
201700000071,A01,7,2,0,1,1
201700000072,B01,7,0,2,1,2
201700000072,A01,7,0,1,1,23
201700000073,B01,7,0,2,3,1
201700000073,A01,7,13,2,8,19
201700000074,A01,7,13,0,9,13
