Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201300000001,A01,7,0,0,6,10
201300000001,B02,31,0,2,1,1
201300000002,A01,33,0,0,8,11
201300000003,A01,7,0,0,0,17
201300000003,B02,33,0,2,9,17
201300000004,A01,7,0,0,1,1
201300000005,A01,7,0,1,7,19
201300000006,B02,7,0,2,8,13
201300000006,A01,33,0,2,7,17
201300000007,A01,15,0,0,0,9
201300000008,A01,30,8,0,0,14
201300000009,A01,33,0,2,2,1
201300000009,B02,7,0,2,6,17
201300000010,A01,33,12,0,3,1
201300000011,A01,7,0,1,1,1
201300000012,A01,7,13,0,2,1
201300000013,B02,33,0,2,1,17
201300000013,A01,7,0,2,6,13
201300000014,B02,33,0,2,1,17
201300000014,A01,10,0,2,3,13
201300000015,A01,2,0,0,0,1
201300000016,A01,7,0,2,3,10
201300000016,B02,30,0,2,2,17
201300000017,A01,31,0,0,1,17
201300000017,B02,7,0,0,1,15
201300000018,A01,7,13,0,3,17
201300000019,A01,7,6,0,1,1
201300000020,B02,30,0,2,1,1
201300000020,A01,7,0,2,2,15
201300000020,C03,7,0,2,8,24
201300000021,A01,30,8,0,1,1
201300000022,A01,30,12,0,1,1
201300000023,A01,7,13,0,1,2
201300000024,B02,7,0,2,3,19
201300000024,A01,7,0,2,2,1
201300000025,A01,33,13,0,0,0
201300000026,A01,1,12,0,1,0
201300000027,B02,33,0,2,1,1
201300000027,A01,10,0,2,3,15
201300000028,A01,7,0,2,1,2
201300000028,B02,7,0,2,4,23
201300000028,C03,7,0,2,4,23
201300000029,A01,7,0,1,3,1
201300000030,A01,7,2,0,3,19
201300000031,B02,7,0,2,6,2
201300000031,A01,7,0,2,2,17
201300000032,A01,7,13,0,3,13
201300000033,A01,16,0,2,3,13
201300000033,B02,7,0,2,1,1
201300000034,A01,7,0,0,1,1
201300000035,A01,13,13,0,3,13
201300000036,A01,7,0,0,0,1
201300000037,A01,10,0,2,3,13
201300000037,B02,33,0,2,1,1
201300000037,C03,7,0,2,6,1
201300000038,A01,7,0,2,3,1
201300000038,B02,7,0,2,3,1
201300000039,A01,30,0,2,6,2
201300000039,B02,7,0,2,2,2
201300000040,B02,7,0,2,1,1
201300000040,A01,7,0,2,8,15
201300000041,B02,30,0,2,8,1
201300000041,A01,14,0,2,3,15
201300000042,A01,2,0,2,2,17
201300000042,B02,7,0,2,3,15
201300000043,A01,7,0,0,1,1
201300000044,B02,10,0,2,9,1
201300000044,C03,10,0,2,1,1
201300000044,D04,10,0,2,1,1
201300000044,A01,10,0,0,4,16
201300000045,B02,10,0,2,1,15
201300000045,A01,7,0,2,2,1
201300000046,B02,7,0,2,3,19
201300000046,A01,31,0,2,1,1
201300000047,B02,2,0,2,1,1
201300000047,A01,7,0,2,1,13
201300000048,A01,33,2,0,0,17
201300000049,B02,7,0,2,1,1
201300000049,A01,7,0,2,7,1
201300000050,B02,1,0,2,1,21
201300000050,A01,30,12,2,1,14
201300000051,A01,7,0,1,2,1
201300000052,A01,7,6,0,4,1
201300000053,A01,7,2,0,7,14
201300000054,A01,7,13,0,1,1
201300000055,A01,7,0,1,1,21
201300000056,A01,1,0,0,1,1
201300000057,A01,32,0,0,1,1
201300000058,A01,7,1,0,1,1
201300000059,A01,33,0,0,0,1
201300000060,B02,33,0,2,1,1
201300000060,A01,7,0,2,8,15
201300000061,A01,7,16,0,1,1
201300000062,B02,7,0,2,3,15
201300000062,A01,33,0,2,1,17
201300000063,A01,7,6,0,1,1
201300000064,A01,33,1,0,1,1
201300000064,B02,7,0,9,1,1
201300000065,A01,30,1,0,1,2
201300000066,B02,7,0,2,3,17
201300000066,A01,7,0,2,3,1
201300000067,B02,2,0,2,1,1
201300000067,A01,7,0,2,3,15
201300000068,B02,1,0,2,8,0
201300000068,A01,7,0,2,1,1
201300000069,A01,33,0,0,0,1
201300000070,A01,33,13,0,1,16
201300000071,A01,33,0,2,1,1
201300000071,B02,10,0,2,3,11
201300000072,A01,33,13,0,1,1
201300000073,A01,33,0,2,1,13
201300000073,B02,7,0,2,1,1
201300000074,B02,2,0,2,1,1
201300000074,A01,7,0,2,3,15
201300000075,A01,7,0,2,3,9
201300000075,B02,32,0,2,1,3
201300000076,A01,10,13,0,1,13
201300000077,B02,7,0,2,1,1
201300000077,A01,30,0,2,1,13
201300000078,A01,7,0,2,7,1
201300000078,B02,7,0,2,1,1
201300000079,A01,7,16,2,1,13
201300000080,A01,7,0,2,7,13
201300000080,B02,10,0,2,1,1
201300000081,A01,7,0,2,2,15
201300000081,B02,7,0,2,1,1
201300000082,A01,33,16,2,0,17
201300000082,B02,7,0,0,6,17
201300000083,B02,7,0,2,1,1
201300000083,A01,7,0,2,5,19
201300000084,B02,15,0,2,3,1
201300000084,A01,7,0,2,3,13
201300000085,B02,1,0,2,7,1
201300000085,A01,7,0,2,4,20
201300000086,A01,7,15,0,1,16
201300000087,A01,7,0,0,6,15
201300000087,B02,7,0,2,1,1
201300000088,A01,7,6,0,2,0
201300000089,B02,30,0,2,1,1
201300000089,A01,7,0,2,5,15
201300000090,A01,33,9,0,1,1
201300000091,B02,7,0,2,1,19
201300000091,A01,7,0,2,3,1
201300000092,B02,1,0,2,4,2
201300000092,A01,7,0,9,2,2
201300000093,A01,31,0,2,7,1
201300000093,B02,7,0,2,1,15
201300000094,B02,7,0,0,6,20
201300000094,A01,30,0,2,1,1
201300000095,A01,10,6,0,2,1
201300000096,A01,7,0,0,1,14
201300000097,B02,7,0,2,4,1
201300000097,A01,33,0,2,1,1
201300000098,A01,7,0,2,5,15
201300000098,B02,31,0,2,1,1
201300000099,A01,31,0,0,0,1
201300000100,B02,1,0,0,4,1
201300000100,A01,7,0,2,2,1
201300000101,B02,15,0,2,7,1
201300000101,A01,30,0,2,1,1
201300000102,A01,7,8,0,1,1
201300000103,A01,7,0,0,3,11
201300000103,B02,33,0,0,1,1
201300000104,A01,14,2,0,1,1
201300000105,A01,7,0,0,3,15
201300000105,B02,30,0,2,1,1
201300000106,A01,7,0,1,2,16
201300000107,A01,30,0,0,0,0
201300000108,A01,10,0,1,1,21
201300000109,B02,10,0,2,2,1
201300000109,A01,7,0,2,3,15
