Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201600000114,A01,7,0,2,3,1
201600000115,A01,7,13,0,1,1
201600000116,A01,7,13,0,2,1
201600000117,A01,7,6,0,9,0
201600000118,A01,2,8,0,1,0
201600000119,B02,17,0,2,1,1
201600000119,A01,7,0,2,1,13
201600000120,A01,15,0,2,8,1
201600000120,B02,7,0,2,1,1
201600000121,A01,33,15,0,1,0
201600000122,B02,7,0,2,1,1
201600000122,C03,7,0,2,2,1
201600000122,A01,7,0,2,1,14
201600000123,A01,7,8,0,1,0
201600000124,B02,7,0,2,3,5
201600000124,A01,3,12,0,3,5
201600000125,A01,7,2,0,3,19
201600000126,A01,7,0,2,8,13
201600000126,B02,7,0,2,1,1
201600000127,B02,7,0,2,1,1
201600000127,A01,7,0,2,1,5
201600000128,A01,33,0,0,8,1
201600000129,A01,7,5,0,1,1
201600000130,A01,33,0,2,1,1
201600000130,B02,10,0,2,1,2
201600000131,A01,7,0,1,2,1
201600000132,A01,16,0,2,3,2
201600000132,B02,15,0,2,5,17
201600000133,A01,7,0,1,3,0
201600000134,A01,7,14,2,2,21
201600000135,A01,7,0,2,1,13
201600000135,B02,33,0,2,1,1
201600000136,A01,7,0,1,2,1
201600000137,A01,33,13,0,1,1
201600000138,A01,32,0,2,1,1
201600000138,B02,7,0,2,2,1
201600000139,A01,7,0,2,1,17
201600000139,B02,7,0,0,1,1
201600000140,A01,7,2,0,3,1
201600000141,A01,33,0,1,1,18
201600000142,A01,7,0,0,1,1
201600000143,A01,2,15,0,1,1
201600000144,A01,10,6,0,1,0
201600000145,A01,15,14,0,0,1
201600000145,B02,2,0,9,0,1
201600000146,A01,15,0,2,2,1
201600000146,B02,30,0,2,7,1
201600000147,B02,2,0,2,4,2
201600000147,A01,7,0,2,2,2
201600000148,A01,38,0,1,2,1
201600000149,A01,7,0,2,2,5
201600000149,B02,15,0,2,3,0
201600000150,A01,7,6,0,1,1
201600000151,A01,7,0,1,3,1
201600000152,A01,7,0,1,3,1
201600000153,A01,33,13,0,1,0
201600000154,A01,30,0,0,1,1
201600000155,A01,33,6,0,1,14
201600000156,B02,7,0,2,7,11
201600000156,A01,33,0,2,2,1
201600000157,A01,7,0,2,3,17
201600000157,B02,35,0,2,7,21
201600000158,A01,7,14,0,1,1
201600000159,A01,7,0,2,3,19
201600000159,B02,1,0,2,1,19
201600000160,A01,7,0,1,2,1
201600000161,B02,2,0,0,4,1
201600000161,A01,2,0,0,1,2
201600000162,A01,7,0,1,2,1
201600000163,B02,7,0,2,1,1
201600000163,C03,7,0,2,8,0
201600000163,A01,7,0,2,1,11
201600000164,B02,1,0,2,2,1
201600000164,A01,10,0,2,6,4
201600000165,A01,7,0,1,1,1
201600000166,A01,7,0,2,5,15
201600000166,B02,33,0,2,1,1
201600000167,B02,1,0,2,0,0
201600000167,A01,7,0,9,2,19
201600000168,A01,7,0,1,2,1
201600000169,A01,2,0,2,1,17
201600000169,B02,7,0,0,8,15
201600000170,A01,7,0,1,1,1
201600000171,A01,10,0,0,0,15
201600000171,B02,33,0,2,0,1
201600000172,A01,33,11,0,1,0
201600000173,A01,33,0,0,0,1
201600000174,B02,7,0,2,1,1
201600000174,A01,7,14,2,3,13
201600000175,B02,34,0,2,4,1
201600000175,C03,7,14,0,1,17
201600000175,A01,7,0,2,1,2
201600000176,A01,30,0,0,3,1
201600000177,A01,7,2,0,2,1
201600000178,A01,33,12,0,0,1
201600000179,A01,7,13,0,2,1
201600000180,A01,7,13,0,3,1
201600000181,A01,7,14,0,1,1
201600000182,A01,7,0,2,3,1
201600000182,B02,7,0,2,3,1
201600000183,C03,10,0,2,1,1
201600000183,B02,17,0,2,1,1
201600000183,A01,7,0,2,2,1
201600000184,A01,37,1,1,5,16
201600000185,A01,33,13,0,1,1
201600000186,B02,31,0,2,0,2
201600000186,A01,2,0,2,8,11
201600000187,A01,7,0,1,3,1
201600000188,A01,30,0,0,0,0
201600000189,C03,7,0,2,1,0
201600000189,A01,7,0,2,1,13
201600000189,B02,7,0,2,1,0
201600000190,A01,7,2,9,3,1
201600000190,B02,14,0,0,0,1
201600000191,A01,7,2,0,1,14
201600000192,A01,7,0,2,3,13
201600000192,B02,7,0,2,3,2
201600000193,A01,38,0,2,3,1
201600000193,B03,17,0,2,3,13
201600000194,A01,17,0,0,4,0
201600000194,B02,10,0,2,1,2
201600000194,C03,10,1,0,1,2
201600000195,A01,7,4,0,3,13
201600000196,A01,33,0,2,1,1
201600000196,B02,7,0,0,6,1
201600000197,A01,7,0,0,6,0
201600000197,B02,7,0,2,2,17
201600000198,A01,7,0,0,4,23
201600000198,B02,7,0,0,4,23
201600000198,C03,7,0,0,1,2
201600000199,A01,17,4,0,3,1
201600000200,A01,33,0,2,3,11
201600000200,B02,10,0,0,5,1
201600000201,A01,7,0,2,3,2
201600000201,B02,10,0,2,5,2
201600000202,B01,17,0,0,6,2
201600000202,C02,10,0,2,2,2
201600000203,B01,17,0,0,0,2
201600000203,C02,7,4,2,2,17
201600000204,A01,7,6,2,3,11
201600000204,B02,7,0,2,7,2
201600000205,A01,7,0,0,9,1
201600000205,B02,15,0,0,8,1
201600000206,A01,1,0,0,0,0
201600000206,B02,10,8,2,7,14
201600000207,A01,33,0,2,1,1
201600000207,B02,7,0,2,8,1
201600000208,A01,21,0,9,5,2
201600000208,B02,1,0,2,0,2
201600000209,A01,1,1,0,1,1
201600000210,A01,7,0,9,0,1
201600000211,A01,33,0,0,0,2
201600000212,A01,33,0,0,2,1
201600000213,A01,7,0,1,7,1
201600000214,B02,7,0,2,2,19
201600000214,A01,7,0,2,1,1
201600000215,A01,7,0,2,7,19
201600000215,B02,15,0,2,1,1
201600000216,A01,7,0,1,4,23
201600000216,B02,10,0,2,1,2
201600000217,A01,7,2,0,1,1
201600000218,A01,33,0,0,0,1
201600000219,A01,33,0,0,7,1
201600000220,A01,7,13,0,9,1
201600000221,A01,10,0,2,1,1
201600000221,B02,10,0,2,1,15
201600000222,A01,7,0,1,2,1
201600000223,A01,7,15,0,1,1
201600000224,A01,7,0,2,1,1
201600000224,B02,7,0,2,2,13
201600000224,C03,7,14,0,1,1
201600000225,A01,30,0,0,7,2
201600000226,A01,21,0,0,1,1
201600000227,A01,7,0,2,1,2
201600000227,B02,21,0,0,4,1
201600000228,A01,7,0,2,3,15
201600000228,B02,7,0,2,1,1
201600000229,A01,7,0,9,5,2
201600000229,B02,3,0,0,4,2
201600000230,A01,10,1,0,3,9
201600000231,A01,7,0,2,3,9
201600000231,B02,30,0,2,1,1
201600000232,A01,15,0,2,2,2
201600000232,B02,30,0,0,6,2
201600000233,A01,7,0,2,2,2
201600000233,B02,1,0,2,4,2
201600000234,A01,15,2,0,1,1
201600000235,A01,7,0,2,1,13
201600000235,B02,7,0,2,1,1
201600000236,A01,31,0,2,1,1
201600000236,B02,7,0,2,1,1
201600000237,A01,7,2,0,1,1
201600000238,A01,7,0,2,6,13
201600000238,B02,7,0,2,1,1
201600000239,A01,7,6,0,1,1
201600000240,A01,7,0,0,4,2
201600000240,B02,7,0,2,1,2
201600000240,C03,17,0,2,0,2
201600000240,D04,7,0,2,4,2
201600000241,A01,10,0,2,1,5
201600000241,B02,21,0,2,1,1
201600000242,A01,7,0,2,1,1
201600000242,B02,10,0,2,4,15
201600000243,A01,7,6,0,1,1
201600000244,A01,7,0,1,1,1
201600000245,A01,7,0,2,7,11
201600000245,B02,7,0,2,1,1
201600000246,A01,33,0,0,7,1
201600000246,B02,10,0,0,6,1
201600000247,A01,7,6,0,1,1
201600000248,A01,31,0,0,2,1
201600000249,C03,7,0,2,1,23
201600000249,B02,15,0,2,1,1
201600000249,A01,10,14,2,7,15
201600000250,A01,7,0,2,5,15
201600000250,B02,33,0,2,1,2
201600000251,A01,33,16,0,1,13
201600000251,B02,17,0,0,0,15
201600000251,C03,7,0,2,7,21
201600000252,A01,33,0,2,1,1
201600000252,B02,10,0,2,8,15
201600000253,A01,7,0,2,3,1
201600000253,B02,7,0,2,3,1
