Num_Acc,category_route,regime_circulation,voie_reserve,profil_route,etat_surface,Infrastructure,situation,nb_voies
202000000150,3,2,0,1,1,0,1,2
202000000151,2,2,0,1,1,0,1,2
202000000152,3,-1,0,3,1,0,3,2
202000000153,2,2,0,1,1,0,3,2
202000000154,3,1,0,1,1,3,8,1
202000000155,2,2,0,2,1,0,1,2
202000000156,2,2,0,1,2,0,3,2
202000000157,3,2,0,1,1,0,1,1
202000000158,3,2,0,2,2,0,1,2
202000000159,7,2,0,2,1,0,1,2
202000000160,3,2,0,1,1,0,1,2
202000000161,3,-1,0,1,1,0,1,2
202000000162,4,2,0,1,1,0,1,2
202000000163,3,2,0,1,1,5,1,2
202000000164,3,1,0,1,1,5,1,1
202000000165,3,2,0,1,2,0,1,2
202000000166,2,3,0,1,1,0,1,4
202000000167,3,2,0,1,1,0,1,2
202000000168,1,3,0,1,1,0,3,4
202000000169,1,3,0,1,1,0,1,4
202000000170,1,1,0,2,2,3,1,1
202000000171,1,3,0,2,1,0,1,6
202000000172,1,3,0,1,1,0,1,4
202000000173,1,3,0,1,1,0,1,3
202000000174,1,1,0,1,1,0,1,3
202000000175,1,1,0,1,1,0,2,3
202000000176,1,1,0,2,1,0,1,3
202000000177,2,3,0,1,1,0,1,6
202000000178,2,3,0,1,1,0,1,2
202000000179,1,-1,0,3,1,0,1,2
202000000180,4,3,0,1,1,0,1,2
202000000181,4,1,0,1,1,0,1,0
202000000182,4,1,0,1,1,6,1,1
202000000183,4,1,0,1,1,5,1,1
202000000184,3,3,0,1,1,0,1,4
202000000185,9,1,0,1,2,9,8,1
202000000186,4,-1,0,1,1,0,8,0
202000000187,4,1,1,1,2,0,1,0
202000000188,4,2,0,1,1,0,1,1
202000000189,3,2,0,1,1,0,1,2
202000000190,1,1,0,1,1,0,1,0
202000000191,3,2,0,1,1,0,1,2
202000000192,3,1,0,1,1,3,1,1
202000000193,4,2,2,1,1,5,1,4
202000000194,3,1,0,1,1,0,1,4
202000000195,3,2,0,2,1,0,1,3
202000000196,4,1,3,1,1,0,1,4
202000000197,3,-1,0,2,2,0,1,2
202000000198,3,2,0,1,2,0,8,2
202000000199,6,-1,0,1,1,0,1,-1
202000000200,4,2,0,1,1,0,1,1
202000000201,3,2,0,1,1,0,1,2
202000000202,4,2,0,1,2,0,1,2
202000000203,4,2,0,1,1,5,1,2
202000000204,4,1,0,1,1,0,1,4
202000000205,4,1,0,1,1,0,1,4
202000000206,4,1,0,1,1,0,1,5
202000000207,4,-1,0,2,1,0,1,4
202000000208,4,2,0,1,1,0,1,6
202000000209,4,2,0,1,1,0,1,4
202000000210,4,2,0,1,1,0,1,2
202000000211,4,2,0,1,1,0,1,4
202000000212,4,1,0,1,1,0,1,1
202000000213,4,-1,0,2,1,0,1,2
202000000214,4,-1,1,1,1,-1,5,1
202000000215,4,2,0,1,1,0,1,3
202000000216,4,2,1,1,1,-1,5,4
202000000217,3,2,3,1,1,6,6,5
202000000218,3,2,0,1,1,0,1,2
202000000219,4,2,0,1,1,0,1,1
202000000220,3,1,0,1,1,0,1,1
202000000221,2,3,0,1,1,0,1,2
202000000222,3,2,0,1,1,0,1,2
202000000223,3,2,0,1,1,0,1,2
202000000224,4,1,0,1,1,0,1,1
202000000225,3,2,1,1,1,0,5,2
202000000226,3,2,0,2,2,0,1,4
202000000227,3,1,0,1,1,0,1,2
202000000228,3,3,1,3,2,0,1,6
202000000229,3,2,0,1,1,0,1,2
202000000230,3,2,0,1,1,8,1,2
202000000231,2,2,0,1,1,0,1,2
202000000232,2,3,0,1,1,0,1,2
202000000233,3,2,0,2,1,0,1,2
202000000234,3,3,0,1,1,0,1,2
202000000235,3,2,0,1,1,0,1,2
202000000236,3,3,0,3,1,0,1,2
202000000237,3,2,0,2,8,0,1,2
202000000238,3,2,0,2,2,0,1,2
202000000239,3,2,0,2,2,0,3,2
202000000240,3,2,0,1,1,0,1,2
202000000241,3,2,0,2,1,0,1,1
202000000242,3,2,0,2,1,0,1,2
202000000243,4,2,2,1,2,0,5,2
202000000244,3,2,0,1,1,0,1,2
202000000245,3,2,0,1,1,0,8,2
202000000246,3,2,0,3,2,0,1,2
202000000247,3,2,0,1,1,0,3,2
202000000248,3,2,0,1,1,0,3,2
202000000249,3,2,0,1,1,0,1,2
202000000250,3,2,0,2,2,0,3,2
202000000251,3,2,0,1,1,0,1,2
202000000252,3,2,0,1,2,9,3,2
202000000253,3,2,0,1,2,0,1,1
202000000254,3,2,0,1,1,0,8,2
202000000255,3,2,0,1,1,5,1,2
202000000256,3,2,0,2,1,0,1,2
202000000257,3,2,0,1,1,0,1,2
202000000258,3,2,0,1,1,0,3,2
202000000259,3,2,0,2,1,0,3,2
202000000260,2,3,0,2,1,2,3,4
202000000261,3,2,0,1,1,5,1,2
202000000262,3,2,0,1,2,0,1,2
202000000263,4,2,0,1,1,0,3,2
202000000264,3,2,0,1,1,0,1,2
202000000265,4,1,0,2,1,0,1,1
202000000266,3,2,0,1,1,0,1,2
202000000267,4,2,0,2,1,0,1,2
202000000268,4,2,0,2,1,9,3,2
202000000269,1,3,3,1,1,0,3,4
202000000270,1,1,0,1,2,0,1,4
202000000271,2,2,0,3,1,0,1,2
202000000272,3,2,0,1,1,0,1,2
202000000273,3,2,0,1,1,0,3,2
202000000274,4,2,0,2,1,0,1,2
202000000275,4,2,0,1,1,0,1,2
202000000276,2,2,0,1,1,0,1,2
202000000277,4,2,0,1,1,0,8,2
202000000278,4,2,0,1,1,0,1,2
202000000279,3,2,0,1,1,0,1,2
202000000280,3,1,0,1,1,0,1,1
202000000281,3,2,0,1,1,5,1,2
202000000282,3,2,0,1,1,0,1,2
202000000283,4,2,0,1,1,0,1,2
202000000284,3,2,0,1,1,9,1,2
202000000285,3,2,0,1,1,0,4,1
202000000286,3,2,0,1,1,0,3,2
202000000287,3,2,0,1,2,0,1,2
202000000288,3,2,3,1,2,4,6,2
202000000289,3,2,0,1,1,0,1,2
202000000290,4,2,0,1,1,0,1,2
202000000291,3,2,0,1,1,0,1,2
202000000292,3,2,0,1,1,9,1,2
202000000293,3,2,0,1,1,0,3,2
202000000294,3,2,0,1,9,0,3,2
202000000295,3,2,0,1,1,0,1,2
202000000296,3,2,0,1,1,0,4,2
202000000297,4,2,0,1,1,0,1,2
202000000298,1,1,0,3,2,0,1,3
202000000299,1,3,0,1,2,0,1,4
202000000300,3,2,0,2,1,0,3,2
202000000301,4,3,2,1,1,0,5,2
202000000302,2,3,0,1,1,0,1,4
202000000303,4,2,2,1,1,5,1,7
202000000304,6,-1,0,1,1,0,8,0
202000000305,3,2,0,1,1,0,1,3
202000000306,4,2,0,1,1,0,1,2
202000000307,4,1,0,1,1,0,1,1
202000000308,3,2,3,1,1,9,6,2
202000000309,4,2,0,1,1,0,1,2
202000000310,4,2,0,1,1,0,1,2
202000000311,3,2,0,2,1,0,1,2
202000000312,4,2,0,1,1,0,1,2
202000000313,4,2,0,1,1,0,1,2
202000000314,7,2,0,1,1,0,1,1
202000000315,4,2,0,1,1,0,1,2
202000000316,3,2,0,1,1,0,1,2
202000000317,4,1,0,2,1,0,1,1
202000000318,4,2,0,4,1,0,1,4
202000000319,4,2,0,2,1,0,1,2
202000000320,4,3,0,1,1,0,1,4
202000000321,4,-1,0,2,1,0,1,4
202000000322,4,2,0,1,1,0,1,4
202000000323,4,2,3,1,1,-1,6,3
202000000324,4,1,0,1,1,0,1,2
202000000325,4,-1,1,1,1,-1,5,3
202000000326,4,3,0,1,1,0,1,2
202000000327,4,2,0,1,1,0,1,4
202000000328,4,2,0,1,1,0,1,2
202000000329,4,1,0,1,1,0,1,5
202000000330,4,3,0,1,1,0,1,8
202000000331,4,1,0,1,1,0,1,1
202000000332,4,1,0,1,1,0,1,2
202000000333,4,1,0,2,1,0,1,2
202000000334,4,1,1,1,1,-1,5,3
202000000335,4,2,0,1,1,0,1,6
202000000336,4,1,0,1,1,0,1,4
202000000337,4,2,0,1,1,0,1,3
202000000338,4,2,0,1,1,0,1,2
202000000339,3,-1,0,1,1,9,8,-1
202000000340,4,1,0,1,1,0,1,1
202000000341,3,2,0,1,1,0,8,2
202000000342,3,1,0,1,1,5,1,1
202000000343,3,2,0,1,1,0,1,2
202000000344,3,3,0,1,1,0,1,4
202000000345,4,1,0,1,1,0,1,1
202000000346,3,-1,0,1,1,0,1,2
202000000347,4,1,0,1,1,0,1,4
202000000348,4,1,0,1,1,0,1,1
202000000349,3,2,0,1,1,0,1,2
202000000350,3,2,0,1,1,0,1,2
202000000351,3,2,0,1,1,0,1,2
202000000352,4,2,0,1,1,5,3,2
202000000353,3,2,0,1,1,0,8,2
202000000354,3,2,0,2,1,0,1,2
202000000355,3,2,0,2,1,0,1,2
202000000356,3,-1,0,2,1,0,3,2
202000000357,3,2,0,1,1,0,3,2
202000000358,3,2,0,1,1,0,1,2
202000000359,3,2,0,1,1,5,1,3
202000000360,3,2,0,1,1,0,1,2
202000000361,4,2,0,2,1,0,1,2
202000000362,4,2,0,2,1,0,3,2
202000000363,4,2,0,2,1,0,3,2
202000000364,3,2,1,1,1,0,3,2
202000000365,3,2,0,1,1,0,1,2
202000000366,3,2,0,1,1,0,1,2
202000000367,3,2,0,1,1,0,1,2
202000000368,3,2,0,2,1,0,1,2
202000000369,3,2,0,1,1,0,3,2
202000000370,4,2,0,2,1,0,1,2
202000000371,3,2,0,1,1,0,1,2
202000000372,3,2,0,1,1,0,3,2
202000000373,3,2,0,2,1,0,1,2
202000000374,1,3,0,1,1,0,3,2
202000000375,1,3,0,1,1,2,1,4
202000000376,7,2,0,1,1,0,1,2
202000000377,1,1,0,1,1,0,2,2
202000000378,1,3,0,1,1,0,1,3
202000000379,4,3,0,1,1,0,1,2
202000000380,3,2,0,2,1,0,1,2
202000000381,3,2,0,1,1,0,1,2
202000000382,3,2,0,1,1,0,1,2
202000000383,3,2,0,2,1,0,8,2
202000000384,3,2,0,2,1,5,1,2
202000000385,3,2,0,2,1,0,3,2
202000000386,3,2,0,1,1,0,1,2
202000000387,3,3,0,1,1,0,1,4
202000000388,7,2,0,1,2,0,1,2
202000000389,4,2,0,1,1,0,1,2
202000000390,3,-1,0,1,1,0,1,2
202000000391,3,2,0,1,1,0,1,2
202000000392,3,1,0,2,1,0,1,1
202000000393,7,1,0,1,1,0,1,3
202000000394,1,3,0,1,1,2,1,4
202000000395,1,3,0,1,1,0,1,2
202000000396,2,1,0,1,1,0,1,4
202000000397,1,1,0,1,1,0,2,3
202000000398,1,3,0,1,1,0,1,3
202000000399,1,3,0,1,1,0,1,4
202000000400,1,3,0,1,1,0,1,7
202000000401,1,3,0,1,1,0,1,6
202000000402,1,3,0,1,1,0,1,8
202000000403,1,3,0,1,1,0,1,4
202000000404,4,2,0,3,1,5,1,2
202000000405,1,3,0,1,1,5,1,4
202000000406,3,3,0,2,1,2,1,4
202000000407,4,3,0,1,1,0,1,1
202000000408,4,2,0,2,1,0,1,2
202000000409,4,1,3,1,1,0,6,4
202000000410,4,2,3,1,1,0,1,3
202000000411,4,2,0,2,1,5,1,4
202000000412,1,1,0,1,1,0,1,3
202000000413,4,2,3,1,1,0,1,2
202000000414,3,2,0,1,1,9,1,2
202000000415,4,1,3,1,1,0,1,3
202000000416,2,3,0,1,1,5,1,5
