Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201400000001,A01,33,0,2,1,1
201400000001,B02,7,0,0,6,15
201400000002,A01,7,1,0,7,13
201400000003,A01,2,0,2,1,1
201400000003,B02,7,0,2,7,15
201400000004,A01,7,0,2,1,13
201400000004,B02,38,0,2,1,0
201400000005,B02,7,0,2,2,13
201400000005,A01,7,0,2,2,1
201400000006,B02,17,0,0,5,1
201400000006,A01,7,0,2,1,6
201400000007,A01,30,0,0,0,1
201400000008,A01,7,7,0,3,1
201400000009,A01,1,0,2,1,1
201400000009,B02,14,0,9,2,1
201400000010,A01,7,8,0,6,1
201400000011,A01,7,0,2,1,13
201400000011,B02,7,0,2,1,1
201400000012,A01,7,0,2,7,15
201400000012,B02,31,0,2,1,1
201400000013,A01,7,0,2,0,1
201400000014,B02,14,0,0,3,10
201400000014,A01,31,0,0,1,2
201400000015,B02,7,0,2,3,1
201400000015,C03,10,0,2,3,1
201400000015,A01,15,0,2,6,1
201400000016,A01,7,2,0,1,1
201400000017,B02,7,0,2,7,1
201400000017,A01,7,0,2,1,1
201400000018,A01,7,0,2,2,2
201400000018,B02,1,0,0,4,1
201400000019,B02,2,0,2,1,1
201400000019,A01,7,0,2,2,15
201400000020,A01,1,0,0,0,1
201400000021,B02,21,0,0,6,15
201400000021,A01,33,0,2,1,1
201400000022,B02,1,0,2,1,1
201400000022,A01,7,0,2,7,15
201400000023,A01,10,0,2,3,15
201400000023,B02,3,0,2,2,1
201400000024,A01,7,0,2,1,13
201400000024,B02,7,0,2,1,1
201400000025,B02,7,0,2,1,1
201400000025,A01,7,0,2,1,13
201400000026,A01,33,0,2,1,17
201400000026,B02,17,0,2,8,1
201400000027,A01,33,0,0,1,17
201400000028,A01,10,0,2,1,1
201400000028,B02,7,0,2,7,1
201400000029,A01,37,0,2,2,2
201400000029,B02,7,0,0,6,10
201400000030,A01,14,0,2,8,1
201400000030,B02,1,0,2,8,1
201400000031,A01,7,2,0,1,1
201400000032,A01,10,0,1,2,16
201400000033,A01,7,0,2,2,17
201400000033,B02,1,0,2,3,15
201400000034,A01,31,0,0,7,1
201400000035,A01,7,0,2,7,16
201400000035,B02,30,0,2,1,1
201400000036,A01,7,0,1,1,1
201400000037,A01,7,13,0,3,13
201400000038,A01,7,0,0,5,23
201400000038,B02,7,1,0,3,1
201400000039,A01,33,1,0,1,1
201400000040,A01,7,13,0,9,1
201400000041,B02,7,0,0,5,2
201400000041,A01,31,0,2,1,2
201400000042,A01,7,0,1,3,1
201400000043,A01,7,0,1,2,1
201400000044,A01,33,13,0,7,16
201400000045,A01,7,13,0,1,14
201400000046,B02,7,0,9,1,1
201400000046,A01,1,0,2,7,19
201400000047,B02,36,0,2,1,1
201400000047,A01,7,0,2,3,19
201400000048,C03,7,0,2,1,1
201400000048,A01,10,0,2,3,13
201400000048,B02,10,0,2,8,1
201400000049,A01,7,13,0,1,1
201400000050,A01,7,0,1,3,1
201400000051,A01,34,0,2,1,17
201400000051,B02,21,0,2,3,15
201400000052,A01,7,13,0,1,17
201400000053,A01,7,6,2,9,13
201400000053,B02,10,0,2,7,21
201400000054,A01,10,0,2,8,15
201400000054,B02,33,0,2,1,1
201400000055,A01,30,0,2,1,17
201400000055,B02,7,0,2,3,15
201400000056,A01,7,13,0,1,1
201400000057,A01,34,0,2,7,13
201400000057,B02,7,0,2,3,15
201400000058,A01,15,0,1,5,16
201400000059,A01,7,6,0,1,14
201400000060,A01,7,0,2,3,3
201400000060,B02,7,0,2,3,1
201400000061,A01,38,0,2,3,15
201400000061,B02,33,0,2,1,17
201400000062,A01,7,0,2,7,19
201400000062,B02,7,0,2,1,1
201400000063,A01,7,0,0,1,1
201400000064,A01,7,0,1,3,1
201400000065,A01,35,6,0,1,1
201400000066,A01,7,0,0,1,1
201400000066,B02,7,0,0,1,0
201400000067,A01,7,13,0,2,14
201400000068,A01,7,0,2,8,15
201400000068,B02,33,0,2,1,17
201400000069,A01,7,0,2,2,15
201400000069,B02,7,0,2,3,1
201400000070,A01,10,0,0,2,15
201400000070,B02,15,0,2,1,1
201400000071,A01,7,0,2,1,19
201400000071,C03,15,0,2,8,1
201400000071,B02,7,0,2,2,1
201400000072,A01,7,0,2,2,1
201400000072,B02,1,0,2,8,15
201400000073,A01,7,13,0,1,1
201400000074,A01,33,8,0,1,1
201400000075,A01,7,0,1,2,1
201400000076,A01,7,0,2,3,16
201400000076,B02,33,0,2,2,1
201400000077,A01,7,0,2,1,13
201400000077,B02,7,0,2,1,1
201400000078,B02,7,1,0,1,1
201400000078,A01,21,0,0,6,23
201400000079,B02,33,0,2,1,1
201400000079,A01,7,0,2,8,10
201400000080,A01,7,3,0,1,0
201400000081,B02,32,0,0,8,1
201400000081,A01,7,0,0,0,1
201400000082,B02,33,0,2,1,1
201400000082,A01,10,0,2,8,15
201400000083,A01,7,0,1,2,1
201400000084,A01,14,1,0,1,14
201400000085,A01,7,0,2,8,15
201400000085,B02,7,0,2,1,21
201400000086,A01,10,8,0,1,1
201400000087,A01,7,13,0,9,1
201400000088,A01,7,0,1,2,1
201400000089,A01,7,13,0,1,1
201400000090,A01,33,0,0,0,14
201400000091,B02,33,0,2,1,1
201400000091,A01,7,0,2,3,15
201400000092,A01,30,13,0,1,1
201400000093,A01,1,0,2,4,13
201400000093,B02,7,0,2,1,2
201400000094,A01,15,0,2,1,1
201400000094,B02,7,0,2,8,19
201400000095,A01,33,0,2,1,1
201400000095,B02,7,0,2,3,15
201400000096,B02,7,0,2,3,1
201400000096,A01,33,0,2,1,11
201400000097,B02,17,0,0,0,0
201400000097,A01,7,0,0,0,0
201400000098,A01,33,0,2,1,1
201400000098,B02,7,0,0,4,23
201400000099,A01,30,0,1,1,1
201400000100,A01,7,0,1,2,1
201400000101,A01,31,0,0,6,23
201400000102,A01,2,0,2,3,1
201400000103,A01,7,0,1,1,1
201400000104,A01,33,12,0,1,1
201400000105,A01,7,0,0,4,20
201400000106,A01,7,8,0,4,1
201400000107,A01,7,6,9,1,1
201400000108,A01,14,0,0,0,1
201400000108,B02,1,0,0,0,0
201400000109,B02,7,0,2,7,1
201400000109,A01,30,0,2,3,19
201400000110,A01,10,0,1,3,1
201400000111,A01,7,0,1,2,1
201400000112,A01,7,0,2,2,13
201400000112,B02,7,0,0,6,0
201400000113,A01,7,0,9,2,1
201400000113,B02,30,0,2,1,0
201400000114,A01,7,13,0,1,1
201400000115,A01,7,0,1,1,3
201400000116,A01,10,7,0,1,1
201400000117,A01,33,13,0,1,0
201400000118,A01,7,2,0,0,1
