Num_Acc,num_veh,category_veh,obstacle,obstacle_m,choc,manoeuvre
201900000001,B01,7,0,2,5,23
201900000001,A01,17,1,0,3,11
201900000002,A01,7,4,0,1,0
201900000003,A01,7,0,2,1,2
201900000003,B01,7,1,0,4,2
201900000003,C01,7,0,2,4,23
201900000004,A01,7,0,2,4,23
201900000004,B01,7,0,2,4,23
201900000004,C01,7,0,2,1,2
201900000005,B01,7,0,2,4,23
201900000005,A01,7,0,2,4,21
201900000006,A01,7,0,2,1,1
201900000006,B01,7,0,2,3,9
201900000007,A01,7,14,0,1,2
201900000007,B01,7,0,2,4,2
201900000008,A01,7,1,0,2,1
201900000009,A01,7,0,2,1,1
201900000009,B01,7,0,2,4,1
201900000009,C01,7,0,2,4,1
201900000010,B01,33,0,2,4,1
201900000010,A01,7,0,2,2,1
201900000011,A01,7,0,1,3,1
201900000012,A01,42,4,0,2,1
201900000013,A01,7,0,0,0,26
201900000014,A01,7,0,2,8,15
201900000014,B01,7,0,2,5,17
201900000015,A01,30,0,1,1,1
201900000016,A01,7,0,1,5,4
201900000017,A01,7,0,1,1,1
201900000018,B01,7,0,2,3,0
201900000018,A01,7,0,2,5,12
201900000019,B01,7,0,2,6,15
201900000019,A01,30,0,2,1,17
201900000020,A01,37,0,1,2,23
201900000021,A01,7,0,2,3,1
201900000021,B01,32,0,2,3,1
201900000022,A01,30,0,0,8,1
201900000023,A01,7,0,2,3,1
201900000023,B01,7,0,2,2,1
201900000024,B01,50,0,2,0,0
201900000024,A01,38,0,2,0,0
201900000025,A01,7,0,1,3,1
201900000026,A01,7,0,2,1,2
201900000026,B01,7,0,2,4,2
201900000026,C01,7,0,2,4,2
201900000027,A01,7,0,1,2,1
201900000028,A01,7,0,9,1,1
201900000029,B01,7,0,2,2,16
201900000029,A01,50,0,2,0,19
201900000030,A01,10,0,2,2,1
201900000030,B01,7,0,2,3,15
201900000031,A01,33,0,1,1,21
201900000032,B01,7,0,1,5,26
201900000032,A01,7,9,2,3,21
201900000033,A01,10,0,2,1,1
201900000033,B01,7,0,2,2,13
201900000034,A01,7,0,1,3,1
201900000035,A01,7,0,0,0,1
201900000036,B01,7,0,2,2,1
201900000036,A01,7,0,2,1,1
201900000037,B01,1,0,2,8,19
201900000037,A01,40,0,2,0,1
201900000038,B01,1,0,2,1,1
201900000038,A01,7,0,2,1,15
201900000039,A01,7,0,1,1,1
201900000040,A01,15,6,0,1,1
201900000041,B01,7,0,2,5,1
201900000041,A01,14,0,2,1,9
201900000042,A01,7,0,1,7,1
201900000043,B01,7,0,2,8,15
201900000043,A01,30,0,2,1,17
201900000044,A01,10,0,2,2,1
201900000045,A01,99,0,0,9,1
201900000046,A01,10,0,1,3,1
201900000047,A01,30,1,0,1,1
201900000048,A01,17,0,1,0,1
201900000049,A01,1,14,0,0,0
201900000050,C01,7,0,2,4,23
201900000050,B01,7,0,2,4,23
201900000050,A01,7,0,2,1,2
201900000051,B01,1,0,2,0,9
201900000051,A01,7,0,2,0,9
201900000052,B01,14,0,2,1,0
201900000052,A01,32,0,2,1,0
201900000053,A01,7,0,1,8,26
201900000054,A01,33,0,2,1,2
201900000054,B01,7,0,2,6,2
201900000055,B01,7,0,2,0,0
201900000055,A01,7,6,2,6,26
201900000056,A01,7,0,1,1,1
201900000057,A01,7,0,1,2,1
201900000058,Z01,7,0,2,0,0
201900000058,A01,30,0,2,4,15
201900000059,A01,7,0,2,1,1
201900000059,B01,1,0,2,1,1
201900000060,A01,1,0,2,4,1
201900000060,Z01,7,0,2,1,9
201900000061,B01,2,0,2,1,1
201900000061,A01,7,0,2,1,15
201900000062,A01,7,0,2,0,16
201900000062,B01,80,0,2,0,1
201900000063,A01,7,4,0,9,26
201900000064,Z01,7,0,2,0,0
201900000064,A01,1,0,2,7,1
201900000065,A01,1,0,2,1,1
201900000065,B01,7,0,2,2,16
201900000066,A01,32,0,2,8,1
